LPL Financial Holdings Price to Free Cash Flow Ratio Historical Data,LPL Financial Holdings Price to Free Cash Flow Ratio Historical Data,LPL Financial Holdings Price to Free Cash Flow Ratio Historical Data,LPL Financial Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,262.22,,50.36
2024-06-30,278.87,$5.21,53.56
2024-03-31,263.5,$5.44,48.4
2023-12-31,226.76,$-1.69,0.0
2023-09-30,236.44,$22.97,10.29
2023-03-31,200.79,$18.15,11.07
2022-12-31,214.13,$20.16,10.62
2022-09-30,216.21,$26.23,8.24
2022-06-30,182.37,$0.30,604.66
2022-03-31,180.37,$2.84,63.57
2021-12-31,157.82,$2.66,59.22
2023-06-30,216.03,$-0.07,0.0
2021-09-30,154.3,$4.22,36.53
2021-06-30,132.64,$2.78,47.71
2021-03-31,139.46,$3.82,36.51
2020-12-31,102.06,$7.86,12.98
2020-09-30,74.87,$5.05,14.81
2020-06-30,76.33,$10.23,7.46
2020-03-31,52.82,$9.75,5.42
2019-12-31,89.07,$5.52,16.12
2019-09-30,78.85,$8.56,9.21
2019-06-30,78.53,$3.45,22.77
2019-03-31,66.85,$5.50,12.16
2018-12-31,58.43,$4.95,11.79
2018-09-30,61.47,$4.53,13.58
2018-06-30,62.22,$3.33,18.68
2018-03-31,57.77,$3.47,16.63
2017-12-31,53.84,$3.71,14.53
2017-09-30,48.35,$1.49,32.55
2017-06-30,39.59,$2.31,17.15
2017-03-31,36.92,$0.51,72.41
2016-12-31,32.43,$1.28,25.41
2016-09-30,27.37,$-0.42,0.0
2016-06-30,20.43,$-0.09,0.0
2015-12-31,37.82,$2.14,17.69
2015-09-30,35.07,$2.00,17.56
2015-06-30,40.75,$3.73,10.93
2015-03-31,38.21,$3.54,10.81
2014-12-31,38.6,$2.44,15.81
2016-03-31,22.26,$2.69,8.28
2014-09-30,39.67,$1.40,28.29
2014-06-30,42.63,$1.81,23.51
2014-03-31,44.8,$1.45,30.9
2013-12-31,39.94,$0.77,51.71
2013-09-30,32.37,$2.14,15.15
2013-06-30,31.75,$1.13,28.19
2013-03-31,27.0,$2.02,13.35
2012-12-31,23.49,$1.80,13.08
2012-09-30,23.7,$1.18,20.01
2012-06-30,27.93,$0.97,28.73
2012-03-31,29.55,$1.69,17.49
2011-12-31,23.78,$3.62,6.57
2011-09-30,19.8,$2.54,7.8
