UP Fintech Holding Price to Free Cash Flow Ratio Historical Data,UP Fintech Holding Price to Free Cash Flow Ratio Historical Data,UP Fintech Holding Price to Free Cash Flow Ratio Historical Data,UP Fintech Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.18,,0.0
2024-06-30,4.2,$-0.06,0.0
2024-03-31,3.44,$-0.06,0.0
2023-12-31,4.42,$-0.06,0.0
2023-09-30,5.12,$1.65,3.09
2023-06-30,2.84,$1.65,1.72
2023-03-31,3.33,$-0.97,0.0
2022-12-31,3.41,$1.65,2.06
2022-09-30,3.29,0,0.0
2022-06-30,4.71,0,0.0
2021-12-31,4.91,$2.62,1.87
2021-09-30,10.59,$3.78,2.8
2021-06-30,28.98,$3.78,7.66
2021-03-31,17.79,$3.78,4.7
2020-12-31,7.94,$3.78,2.1
2020-09-30,4.74,$2.07,2.29
2020-06-30,4.16,$2.07,2.01
2020-03-31,2.73,$2.07,1.32
2019-12-31,3.55,$2.07,1.71
2019-03-31,12.94,0,0.0
