Steelcase Price to Free Cash Flow Ratio Historical Data,Steelcase Price to Free Cash Flow Ratio Historical Data,Steelcase Price to Free Cash Flow Ratio Historical Data,Steelcase Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.21,,5.89
2024-08-31,14.04,$2.24,6.26
2024-05-31,13.46,$2.10,6.4
2024-02-29,13.43,$2.72,4.94
2023-11-30,11.94,$2.78,4.29
2023-08-31,8.72,$2.29,3.81
2023-05-31,6.16,$0.96,6.41
2023-02-28,7.38,$0.36,20.77
2022-11-30,7.33,$-0.82,0.0
2022-08-31,10.19,$-1.47,0.0
2022-05-31,11.03,$-1.18,0.0
2022-02-28,10.81,$-1.28,0.0
2021-11-30,9.81,$-0.61,0.0
2021-08-31,12.22,$-0.69,0.0
2021-05-31,12.43,$0.45,27.49
2021-02-28,11.89,$0.27,44.33
2020-11-30,10.29,$1.11,9.25
2020-08-31,8.77,$2.65,3.3
2020-05-31,9.62,$2.29,4.2
2020-02-29,13.37,$2.45,5.45
2019-11-30,14.83,$1.97,7.54
2019-08-31,12.61,$1.38,9.14
2019-05-31,12.91,$1.02,12.7
2019-02-28,13.96,$0.60,23.26
2018-11-30,12.8,$0.97,13.26
2018-08-31,11.45,$0.69,16.52
2018-05-31,11.18,$0.68,16.45
2018-02-28,10.5,$1.26,8.36
2017-11-30,11.59,$0.77,15.01
2017-08-31,9.98,$0.87,11.44
2017-05-31,12.55,$1.03,12.13
2017-02-28,11.9,$0.94,12.69
2016-11-30,11.49,$0.77,15.01
2016-08-31,10.94,$0.62,17.77
2016-05-31,11.59,$0.04,293.36
2016-02-29,9.0,$1.10,8.18
2015-11-30,14.29,$0.86,16.54
2015-08-31,12.52,$0.64,19.47
2015-02-28,13.14,$0.05,254.18
2014-11-30,12.23,$0.92,13.27
2014-08-31,10.89,$0.47,22.96
2014-05-31,11.29,$0.77,14.7
2014-02-28,10.18,$1.64,6.22
2015-05-31,12.15,$-0.08,0.0
2013-11-30,11.11,$0.64,17.27
2013-08-31,9.81,$0.73,13.41
2013-05-31,9.29,$0.82,11.32
2013-02-28,9.43,$1.01,9.32
2012-11-30,7.69,$1.06,7.23
2012-08-31,6.35,$0.75,8.42
2012-05-31,5.68,$0.54,10.48
2012-02-29,5.64,$0.37,15.07
2011-11-30,4.99,$0.30,16.47
2011-08-31,5.23,$0.35,14.87
2011-05-31,6.82,$0.33,20.59
2011-02-28,6.06,$0.55,11.09
2010-11-30,5.96,$0.32,18.9
2010-08-31,3.84,$0.30,13.03
2010-05-31,5.16,$0.03,173.74
2010-02-28,4.02,$-0.28,0.0
2009-11-30,3.32,$-0.10,0.0
