Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data,Medtronic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,88.58,,22.84
2024-07-31,80.32,$3.88,20.71
2024-04-30,79.53,$3.91,20.35
2024-01-31,86.06,$3.70,23.26
2023-10-31,68.79,$3.03,22.67
2023-07-31,84.83,$3.33,25.44
2023-04-30,87.22,$3.44,25.38
2023-01-31,79.56,$3.11,25.61
2022-10-31,82.3,$3.59,22.95
2022-07-31,86.48,$4.24,20.39
2022-04-30,96.8,$4.42,21.88
2022-01-31,95.43,$4.21,22.69
2021-10-31,109.85,$4.26,25.78
2021-07-31,119.76,$4.32,27.7
2021-04-30,118.81,$3.61,32.93
2021-01-31,100.53,$3.42,29.4
2020-10-31,90.36,$3.52,25.69
2020-07-31,86.19,$3.52,24.48
2020-04-30,86.65,$4.46,19.44
2020-01-31,101.86,$4.91,20.74
2019-10-31,95.63,$4.65,20.55
2019-07-31,89.07,$4.19,21.27
2019-04-30,77.17,$4.33,17.84
2019-01-31,76.39,$3.57,21.4
2018-10-31,77.2,$3.56,21.67
2018-07-31,77.15,$3.34,23.08
2018-04-30,68.12,$2.64,25.78
2018-01-31,73.02,$3.14,23.26
2017-10-31,68.45,$3.12,21.92
2017-07-31,70.97,$3.51,20.22
2017-04-30,69.86,$4.04,17.28
2017-01-31,63.58,$3.70,17.18
2016-10-31,68.19,$3.51,19.41
2016-07-31,72.49,$3.38,21.44
2016-04-30,65.16,$2.93,22.27
2016-01-31,62.18,$3.47,17.92
2015-10-31,60.25,$4.04,14.92
2015-07-31,63.54,$4.12,15.43
2015-04-30,60.05,$3.91,15.38
2015-01-31,57.36,$3.88,14.78
2014-10-31,54.53,$3.72,14.67
2014-07-31,49.15,$3.82,12.88
2014-04-30,46.61,$4.50,10.35
2014-01-31,44.61,$4.40,10.13
2013-10-31,45.06,$4.21,10.7
2013-07-31,43.13,$4.07,10.61
2013-04-30,36.25,$4.37,8.31
2013-01-31,35.99,$4.15,8.67
2012-10-31,31.92,$3.82,8.35
2012-07-31,30.08,$4.02,7.47
2012-04-30,28.96,$3.76,7.7
2012-01-31,29.06,$3.50,8.31
2011-10-31,26.01,$3.56,7.31
2011-07-31,26.79,$3.28,8.18
2011-04-30,30.83,$3.00,10.29
2011-01-31,28.13,$3.34,8.43
2010-10-31,25.71,$3.52,7.29
2010-07-31,26.8,$3.42,7.83
2010-04-30,31.48,$3.21,9.81
2010-01-31,30.76,$3.13,9.83
2009-10-31,25.49,$4.02,6.34
