Inter Parfums Price to Free Cash Flow Ratio Historical Data,Inter Parfums Price to Free Cash Flow Ratio Historical Data,Inter Parfums Price to Free Cash Flow Ratio Historical Data,Inter Parfums Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,120.4,,0.0
2024-06-30,115.29,$-0.58,0.0
2023-12-31,141.33,$3.09,45.74
2023-09-30,131.27,$3.48,37.67
2023-06-30,131.52,$1.34,98.25
2023-03-31,137.71,$1.49,92.51
2022-12-31,93.02,$1.10,84.35
2024-03-31,138.67,$-2.92,0.0
2022-09-30,72.34,$-1.01,0.0
2022-06-30,69.6,$0.06,1139.04
2022-03-31,83.25,$-2.82,0.0
2021-12-31,100.45,$-0.68,0.0
2021-09-30,70.07,$1.49,46.94
2021-06-30,67.23,$-0.15,0.0
2021-03-31,66.02,$3.52,18.74
2020-12-31,56.11,$1.71,32.91
2020-09-30,34.65,$1.45,23.96
2020-06-30,44.67,$1.59,28.1
2020-03-31,43.0,$1.90,22.62
2019-12-31,67.01,$2.24,29.9
2019-09-30,64.19,$2.15,29.9
2019-06-30,60.75,$2.06,29.5
2019-03-31,69.03,$2.06,33.53
2018-12-31,59.44,$1.87,31.71
2018-09-30,58.18,$1.43,40.77
2018-06-30,48.14,$1.18,40.83
2018-03-31,42.26,$1.32,31.98
2017-12-31,38.77,$1.24,31.32
2017-09-30,36.63,$1.74,21.08
2017-06-30,32.41,$1.68,19.27
2017-03-31,32.18,$1.28,25.11
2016-12-31,28.7,$1.60,17.97
2016-09-30,28.14,$1.42,19.83
2016-06-30,24.79,$1.53,16.17
2016-03-31,26.68,$1.10,24.32
2015-12-31,20.46,$1.48,13.86
2015-09-30,21.2,$1.10,19.3
2015-06-30,28.84,$1.14,25.38
2015-03-31,27.62,$1.91,14.47
2014-12-31,23.15,$1.07,21.58
2014-09-30,23.09,$0.46,50.52
2014-06-30,24.7,$1.24,19.85
2014-03-31,30.15,$0.14,210.8
2013-12-31,29.71,$1.63,18.23
2013-09-30,24.48,$1.85,13.24
2013-06-30,23.19,$1.47,15.74
2013-03-31,19.78,$2.42,8.18
2012-12-31,15.68,$1.67,9.41
2012-09-30,14.68,$1.23,11.94
2012-06-30,13.8,$-0.02,0.0
2012-03-31,12.48,$-1.09,0.0
2011-12-31,12.31,$-1.10,0.0
2011-09-30,12.16,$-1.72,0.0
2011-06-30,18.03,$-0.43,0.0
2011-03-31,14.44,$0.64,22.7
2010-12-31,14.64,$1.04,14.05
2010-09-30,13.61,$2.55,5.33
2010-06-30,10.97,$2.97,3.7
2010-03-31,11.38,$2.85,3.99
2009-12-31,9.3,$2.63,3.54
