Celldex Therapeutics Price to Free Cash Flow Ratio Historical Data,Celldex Therapeutics Price to Free Cash Flow Ratio Historical Data,Celldex Therapeutics Price to Free Cash Flow Ratio Historical Data,Celldex Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.74,,0.0
2024-06-30,37.01,$-2.12,0.0
2024-03-31,41.97,$-2.33,0.0
2023-12-31,39.66,$-2.25,0.0
2023-09-30,27.52,$-2.08,0.0
2023-06-30,33.93,$-2.42,0.0
2023-03-31,35.98,$-2.33,0.0
2022-12-31,44.57,$-2.25,0.0
2022-09-30,28.11,$-2.19,0.0
2022-06-30,26.96,$-1.70,0.0
2022-03-31,34.06,$-1.52,0.0
2021-12-31,38.64,$-1.45,0.0
2021-09-30,53.99,$-1.52,0.0
2021-06-30,33.44,$-1.08,0.0
2021-03-31,20.6,$-1.17,0.0
2020-12-31,17.52,$-1.41,0.0
2020-09-30,14.83,$-1.82,0.0
2020-06-30,13.0,$-2.58,0.0
2020-03-31,1.66,$-2.87,0.0
2019-12-31,2.23,$-3.25,0.0
2019-09-30,2.13,$-4.10,0.0
2019-06-30,2.68,$-4.34,0.0
2019-03-31,4.92,$-5.32,0.0
2018-12-31,2.97,$-7.25,0.0
2018-09-30,6.77,$-7.89,0.0
2018-06-30,7.55,$-9.68,0.0
2018-03-31,34.95,$-10.53,0.0
2017-12-31,42.6,$-11.87,0.0
2017-09-30,42.9,$-12.47,0.0
2017-06-30,37.05,$-13.35,0.0
2017-03-31,54.15,$-16.08,0.0
2016-12-31,53.1,$-17.11,0.0
2016-09-30,60.6,$-16.52,0.0
2016-06-30,65.85,$-17.45,0.0
2016-03-31,56.7,$-15.87,0.0
2015-12-31,235.2,$-16.03,0.0
2015-09-30,158.1,$-17.38,0.0
2015-06-30,378.3,$-17.53,0.0
2015-03-31,418.05,$-17.50,0.0
2014-12-31,273.75,$-17.35,0.0
2014-09-30,194.4,$-17.00,0.0
2014-06-30,244.8,$-15.84,0.0
2014-03-31,265.05,$-15.38,0.0
2013-12-31,363.15,$-13.51,0.0
2013-09-30,531.45,$-13.87,0.0
2013-06-30,234.15,$-13.15,0.0
2013-03-31,173.7,$-12.41,0.0
2012-12-31,100.65,$-12.95,0.0
2012-09-30,94.5,$-13.84,0.0
2012-06-30,77.63,$-12.82,0.0
2012-03-31,76.35,$-13.55,0.0
2011-12-31,39.0,$-13.70,0.0
2011-09-30,34.28,$-12.09,0.0
2011-06-30,53.25,$-14.26,0.0
2011-03-31,60.3,$-15.99,0.0
2010-12-31,61.8,$-15.24,0.0
2010-09-30,60.0,$-16.97,0.0
2010-06-30,68.4,$-18.40,0.0
2010-03-31,92.1,$-21.22,0.0
2009-12-31,70.05,$-22.35,0.0
