Arrow Electronics Price to Free Cash Flow Ratio Historical Data,Arrow Electronics Price to Free Cash Flow Ratio Historical Data,Arrow Electronics Price to Free Cash Flow Ratio Historical Data,Arrow Electronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,137.14,,15.28
2024-06-30,120.76,$8.97,13.46
2023-12-31,122.25,$10.91,11.21
2023-09-30,125.24,$-2.12,0.0
2023-06-30,143.23,$-0.67,0.0
2023-03-31,124.87,$3.46,36.06
2022-12-31,104.57,$-1.54,0.0
2024-03-31,129.46,$3.79,34.14
2022-09-30,92.19,$-2.98,0.0
2022-06-30,112.09,$-3.35,0.0
2022-03-31,118.63,$1.72,68.95
2021-12-31,134.27,$4.88,27.52
2021-09-30,112.29,$6.85,16.39
2021-06-30,113.83,$8.76,13.0
2021-03-31,110.82,$10.28,10.78
2020-12-31,97.3,$15.72,6.19
2020-09-30,78.66,$19.26,4.08
2020-06-30,68.69,$19.04,3.61
2020-03-31,51.87,$18.17,2.86
2019-12-31,84.74,$8.55,9.91
2019-09-30,74.58,$5.69,13.11
2019-06-30,71.27,$7.77,9.17
2019-03-31,77.06,$-1.36,0.0
2018-12-31,68.95,$1.61,42.71
2018-09-30,73.72,$-0.31,0.0
2018-06-30,75.28,$-4.49,0.0
2018-03-31,77.02,$-3.96,0.0
2017-12-31,80.41,$-0.77,0.0
2017-09-30,80.41,$-1.67,0.0
2017-06-30,78.42,$-1.45,0.0
2016-12-31,71.3,$2.12,33.65
2016-09-30,63.97,$6.30,10.15
2016-06-30,61.9,$5.61,11.04
2016-03-31,64.41,$2.84,22.66
2015-12-31,54.18,$8.10,6.69
2017-03-31,73.41,$-0.85,0.0
2015-09-30,55.28,$4.20,13.15
2015-06-30,55.8,$4.87,11.46
2015-03-31,61.15,$1.80,33.91
2014-12-31,57.89,$5.51,10.5
2014-09-30,55.35,$3.03,18.24
2014-06-30,60.41,$4.46,13.55
2014-03-31,59.36,$6.04,9.83
2013-12-31,54.25,$3.23,16.82
2013-09-30,48.53,$2.80,17.35
2013-06-30,39.85,$3.70,10.78
2013-03-31,40.62,$1.16,35.16
2012-12-31,38.08,$5.07,7.52
2012-09-30,33.71,$4.80,7.03
2012-06-30,32.81,$4.14,7.92
2012-03-31,41.97,$3.74,11.21
2011-12-31,37.41,$0.06,624.54
2011-09-30,27.78,$2.66,10.44
2011-06-30,41.5,$1.44,28.88
2011-03-31,41.88,$-6.69,0.0
2010-12-31,34.25,$-3.52,0.0
2010-09-30,26.73,$-6.46,0.0
2010-06-30,22.35,$-3.75,0.0
2009-12-31,29.61,$6.05,4.89
2009-09-30,28.15,$2.08,13.53
