Silver Standard Resources Price to Free Cash Flow Ratio Historical Data,Silver Standard Resources Price to Free Cash Flow Ratio Historical Data,Silver Standard Resources Price to Free Cash Flow Ratio Historical Data,Silver Standard Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.82,,5.39
2024-06-30,4.51,$1.08,4.18
2024-03-31,4.46,$1.18,3.78
2023-12-31,10.76,$0.97,11.11
2023-09-30,13.21,$0.59,22.32
2023-06-30,14.03,$-0.64,0.0
2023-03-31,14.9,$-0.12,0.0
2022-12-31,15.36,$0.26,58.47
2022-09-30,14.35,$0.57,25.07
2022-06-30,16.22,$1.41,11.54
2022-03-31,21.04,$1.77,11.88
2021-12-31,17.07,$1.96,8.72
2021-09-30,13.99,$4.11,3.41
2021-06-30,14.95,$3.63,4.12
2021-03-31,13.65,$3.16,4.32
2020-12-31,19.16,$2.93,6.53
2020-09-30,17.79,$0.37,48.46
2020-06-30,20.32,$0.54,37.33
2020-03-31,10.84,$0.46,23.81
2019-12-31,18.35,$0.08,223.49
2019-09-30,13.83,$-0.17,0.0
2019-06-30,13.02,$-0.46,0.0
2019-03-31,12.06,$-0.29,0.0
2018-12-31,11.52,$0.02,619.24
2018-09-30,8.3,$-0.06,0.0
2018-06-30,9.4,$0.63,14.96
2018-03-31,9.15,$0.80,11.47
2017-12-31,8.37,$0.96,8.72
2017-09-30,10.11,$1.81,5.58
2017-06-30,9.25,$1.37,6.76
2017-03-31,10.11,$1.31,7.69
2016-12-31,8.5,$1.23,6.92
2016-09-30,11.49,$0.47,24.57
2016-06-30,12.38,$0.10,129.58
2016-03-31,5.29,$0.39,13.73
2015-12-31,4.93,$0.55,8.99
2015-09-30,6.21,$1.23,5.06
2015-06-30,5.98,$1.40,4.28
2015-03-31,4.32,$-2.49,0.0
2014-12-31,4.77,$-2.71,0.0
2014-09-30,5.81,$-3.12,0.0
2014-06-30,8.25,$-3.42,0.0
2014-03-31,9.46,$-0.09,0.0
2013-12-31,6.63,$-0.26,0.0
2013-09-30,5.86,$-0.56,0.0
2013-06-30,6.04,$-0.44,0.0
2013-03-31,10.05,$-0.41,0.0
2012-12-31,14.19,$-0.71,0.0
2012-09-30,15.27,$-0.72,0.0
2012-06-30,10.71,$-0.75,0.0
2012-03-31,14.33,$-0.77,0.0
2011-12-31,13.17,$-0.04,0.0
2011-09-30,17.48,$1.94,9.01
2011-06-30,25.43,$2.26,11.26
2011-03-31,29.9,$1.78,16.82
2010-12-31,26.88,$1.13,23.71
2010-09-30,19.03,$-1.28,0.0
2010-06-30,17.01,$-2.10,0.0
2010-03-31,16.95,$-2.25,0.0
2009-12-31,20.84,$-2.74,0.0
