TAL Education Group Price to Free Cash Flow Ratio Historical Data,TAL Education Group Price to Free Cash Flow Ratio Historical Data,TAL Education Group Price to Free Cash Flow Ratio Historical Data,TAL Education Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.05,,19.19
2024-05-31,11.36,$0.52,21.69
2024-02-29,14.73,$0.32,45.85
2023-11-30,12.53,$0.34,36.54
2023-08-31,7.05,$0.01,0.0
2023-05-31,5.43,$0.07,79.85
2023-02-28,7.03,$-0.13,0.0
2022-11-30,5.97,$-1.37,0.0
2021-08-31,5.32,$1.16,4.57
2021-05-31,39.97,$1.16,34.37
2021-02-28,77.54,$1.16,66.67
2020-11-30,70.06,$3.82,18.32
2020-08-31,73.81,$-0.85,0.0
2020-05-31,56.46,$1.14,49.54
2020-02-29,54.39,$1.14,47.72
2022-08-31,5.78,$-0.07,0.0
2019-11-30,44.26,$2.09,21.17
2019-08-31,35.63,$0.10,371.15
2019-05-31,34.41,$0.10,358.44
2019-02-28,35.6,$0.10,370.83
2018-11-30,28.07,$0.96,29.23
2018-08-31,29.6,$0.96,30.82
2018-05-31,42.46,$0.96,44.22
2018-02-28,37.76,$0.96,39.32
2017-11-30,27.88,$0.55,51.11
2017-08-31,30.43,$0.55,55.78
2017-05-31,19.41,$0.55,35.59
2017-02-28,14.35,$0.55,26.31
2016-11-30,12.7,$0.30,41.88
2016-08-31,9.92,$0.30,32.71
2016-05-31,8.87,$0.30,29.24
2016-02-29,8.59,$0.30,28.32
2015-11-30,7.31,$0.24,30.81
2015-08-31,5.09,$0.24,21.45
2015-05-31,6.01,$0.24,25.34
2015-02-28,5.1,$0.24,21.49
2014-11-30,5.1,$0.26,19.85
2014-08-31,5.68,$0.19,30.29
2014-05-31,3.82,$0.19,20.36
2014-02-28,3.94,$0.19,21.01
2022-05-31,4.1,$-0.07,0.0
2013-11-30,3.27,$0.13,25.87
2013-08-31,1.91,$0.13,15.12
2013-05-31,1.65,$0.13,13.06
2013-02-28,1.35,$0.13,10.68
2012-11-30,1.29,$0.00,0.0
2012-08-31,1.08,$0.00,0.0
2012-05-31,1.51,$0.00,0.0
2012-02-29,1.58,$0.11,14.92
2011-11-30,1.47,$0.10,14.09
2011-05-31,1.58,$0.10,15.12
