Vermilion Energy Price to Free Cash Flow Ratio Historical Data,Vermilion Energy Price to Free Cash Flow Ratio Historical Data,Vermilion Energy Price to Free Cash Flow Ratio Historical Data,Vermilion Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.81,,4.04
2024-06-30,10.87,$2.43,4.48
2024-03-31,12.19,$1.77,6.9
2023-12-31,11.73,$2.86,4.11
2023-09-30,14.14,$3.37,4.2
2023-06-30,11.98,$4.53,2.64
2023-03-31,12.4,$6.40,1.94
2022-12-31,16.83,$5.77,2.92
2022-09-30,20.3,$4.74,4.28
2022-06-30,18.01,$4.30,4.18
2022-03-31,19.82,$3.25,6.1
2021-12-31,11.84,$2.23,5.32
2021-09-30,9.31,$2.10,4.44
2021-06-30,8.23,$1.69,4.88
2021-03-31,6.85,$0.59,11.6
2020-12-31,4.19,$0.63,6.66
2020-09-30,2.2,$0.84,2.61
2020-06-30,4.19,$1.05,4.0
2020-03-31,2.93,$1.65,1.77
2019-12-31,14.54,$1.45,10.03
2019-09-30,14.35,$1.13,12.75
2019-06-30,18.07,$0.50,35.92
2019-03-31,20.08,$0.21,94.86
2018-12-31,16.78,$0.12,144.01
2018-09-30,25.84,$-0.00,0.0
2018-06-30,27.8,$0.67,41.25
2018-03-31,24.54,$1.00,24.53
2017-12-31,27.2,$1.55,17.56
2017-09-30,26.27,$1.51,17.38
2017-06-30,23.07,$1.61,14.35
2017-03-31,26.89,$1.50,17.95
2016-12-31,29.86,$1.10,27.13
2016-09-30,27.11,$1.21,22.32
2016-06-30,21.96,$0.65,33.54
2016-03-31,19.86,$0.69,28.74
2015-12-31,18.11,$-0.50,0.0
2015-09-30,21.12,$2.28,9.26
2015-06-30,27.95,$0.71,39.22
2015-03-31,26.92,$2.06,13.06
2014-12-31,30.99,$1.47,21.04
2014-09-30,38.02,$-1.16,0.0
2014-06-30,43.23,$0.36,121.39
2014-03-31,38.37,$-0.36,0.0
2013-12-31,35.66,$1.45,24.58
2013-09-30,33.15,$1.52,21.85
2013-06-30,29.0,$0.82,35.25
2013-03-31,30.42,$0.05,610.79
2012-09-30,27.04,$4.36,6.21
2012-06-30,25.49,$-0.93,0.0
2012-03-31,25.89,$3.61,7.16
