Plug Power Price to Free Cash Flow Ratio Historical Data,Plug Power Price to Free Cash Flow Ratio Historical Data,Plug Power Price to Free Cash Flow Ratio Historical Data,Plug Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.04,,0.0
2024-06-30,2.33,$-2.23,0.0
2024-03-31,3.44,$-2.63,0.0
2023-12-31,4.5,$-2.98,0.0
2023-09-30,7.6,$-2.98,0.0
2023-06-30,10.39,$-2.79,0.0
2023-03-31,11.72,$-2.44,0.0
2022-12-31,12.37,$-2.18,0.0
2022-09-30,21.01,$-1.64,0.0
2022-06-30,16.57,$-1.43,0.0
2022-03-31,28.61,$-1.20,0.0
2021-12-31,28.23,$-0.95,0.0
2021-09-30,25.54,$-0.82,0.0
2021-06-30,34.19,$-0.63,0.0
2021-03-31,35.84,$-0.54,0.0
2020-12-31,33.91,$-0.50,0.0
2020-09-30,13.41,$-0.46,0.0
2020-06-30,8.21,$-0.40,0.0
2020-03-31,3.54,$-0.28,0.0
2019-12-31,3.16,$-0.25,0.0
2019-09-30,2.63,$-0.32,0.0
2019-06-30,2.25,$-0.29,0.0
2019-03-31,2.4,$-0.35,0.0
2018-12-31,1.24,$-0.29,0.0
2018-09-30,1.92,$-0.13,0.0
2018-06-30,2.02,$-0.25,0.0
2018-03-31,1.89,$-0.28,0.0
2017-12-31,2.36,$-0.30,0.0
2017-09-30,2.61,$-0.37,0.0
2017-06-30,2.04,$-0.40,0.0
2017-03-31,1.38,$-0.31,0.0
2016-12-31,1.2,$-0.24,0.0
2016-09-30,1.71,$-0.32,0.0
2016-03-31,2.05,$-0.26,0.0
2015-12-31,2.11,$-0.29,0.0
2015-09-30,1.84,$-0.39,0.0
2015-06-30,2.45,$-0.22,0.0
2015-03-31,2.59,$-0.23,0.0
2014-12-31,3.0,$-0.20,0.0
2016-06-30,1.86,$-0.10,0.0
2014-09-30,4.59,$-0.33,0.0
2014-06-30,4.68,$-0.31,0.0
2014-03-31,7.1,$-0.30,0.0
2013-12-31,1.55,$-0.35,0.0
2013-09-30,0.74,$-0.39,0.0
2013-06-30,0.38,$-0.52,0.0
2013-03-31,0.22,$-0.56,0.0
2012-12-31,0.5,$-0.59,0.0
2012-09-30,0.83,$-1.36,0.0
2012-06-30,1.14,$-1.19,0.0
2012-03-31,1.31,$-1.37,0.0
2011-12-31,2.04,$-1.84,0.0
2011-09-30,1.82,$-0.99,0.0
2011-06-30,2.22,$-2.09,0.0
2011-03-31,7.6,$-2.93,0.0
2010-12-31,3.71,$-3.18,0.0
2010-09-30,3.82,$-3.77,0.0
2010-06-30,4.59,$-3.29,0.0
2010-03-31,6.9,$-2.86,0.0
2009-12-31,7.1,$-2.98,0.0
