Allegion Price to Free Cash Flow Ratio Historical Data,Allegion Price to Free Cash Flow Ratio Historical Data,Allegion Price to Free Cash Flow Ratio Historical Data,Allegion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,138.84,,24.35
2024-06-30,118.15,$5.70,20.72
2024-03-31,134.16,$5.59,23.99
2023-12-31,125.71,$5.85,21.49
2023-09-30,103.0,$5.55,18.54
2023-06-30,118.13,$5.67,20.82
2023-03-31,104.65,$4.87,21.47
2022-12-31,102.78,$4.48,22.95
2022-09-30,87.22,$3.83,22.8
2022-06-30,94.8,$3.10,30.58
2022-03-31,105.88,$3.87,27.33
2021-12-31,127.27,$4.90,25.99
2021-09-30,126.67,$5.64,22.45
2021-06-30,133.15,$6.41,20.76
2021-03-31,119.76,$5.73,20.9
2020-12-31,110.63,$4.78,23.16
2020-09-30,93.75,$4.80,19.54
2020-06-30,96.58,$4.78,20.22
2020-03-31,86.67,$4.95,17.52
2019-12-31,116.92,$4.48,26.09
2019-09-30,97.09,$4.33,22.42
2019-06-30,103.29,$4.07,25.38
2019-03-31,84.53,$4.21,20.1
2018-12-31,74.06,$4.27,17.34
2018-09-30,83.94,$4.07,20.64
2018-06-30,71.53,$3.68,19.43
2018-03-31,78.66,$3.41,23.04
2017-12-31,73.19,$3.10,23.59
2017-09-30,79.4,$3.31,23.97
2017-06-30,74.34,$3.03,24.56
2017-03-31,69.23,$3.04,22.8
2016-12-31,58.41,$3.46,16.89
2016-09-30,62.77,$2.84,22.13
2016-06-30,63.13,$3.02,20.93
2016-03-31,57.83,$2.26,25.6
2015-12-31,59.72,$2.29,26.06
2015-09-30,52.16,$1.77,29.51
2015-06-30,54.31,$1.87,29.04
2015-03-31,55.15,$2.16,25.53
2014-12-31,49.92,$2.11,23.68
2014-09-30,42.82,$3.91,10.95
