RPM Price to Free Cash Flow Ratio Historical Data,RPM Price to Free Cash Flow Ratio Historical Data,RPM Price to Free Cash Flow Ratio Historical Data,RPM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,133.55,,21.44
2024-08-31,116.25,$6.23,18.66
2024-05-31,111.65,$7.08,15.78
2024-02-29,114.4,$8.11,14.1
2023-11-30,101.65,$7.19,14.13
2023-08-31,98.04,$5.16,19.01
2023-05-31,78.07,$2.50,31.17
2023-02-28,86.28,$-0.11,0.0
2022-11-30,100.37,$-0.58,0.0
2022-08-31,89.82,$-0.79,0.0
2022-05-31,84.52,$-0.34,0.0
2022-02-28,80.76,$0.93,86.97
2021-11-30,86.57,$1.63,53.16
2021-08-31,77.87,$2.76,28.17
2021-05-31,88.13,$4.72,18.66
2021-02-28,74.73,$5.20,14.38
2020-11-30,82.22,$5.26,15.63
2020-08-31,78.86,$4.40,17.91
2020-05-31,69.25,$3.09,22.38
2020-02-29,59.03,$2.82,20.93
2019-11-30,67.56,$2.25,30.06
2019-08-31,61.68,$2.26,27.29
2019-05-31,48.51,$1.16,41.72
2019-02-28,52.15,$1.95,26.68
2018-11-30,59.05,$2.18,27.06
2018-08-31,60.07,$2.07,28.99
2018-05-31,43.82,$2.01,21.8
2018-02-28,43.78,$1.73,25.34
2017-11-30,46.31,$1.59,29.08
2017-08-31,42.55,$1.68,25.33
2017-05-31,46.87,$1.92,24.36
2017-02-28,45.79,$2.02,22.67
2016-11-30,45.2,$2.47,18.31
2016-08-31,46.3,$2.58,17.96
2016-05-31,42.39,$2.62,16.21
2016-02-29,34.31,$3.30,10.38
2015-11-30,39.19,$2.60,15.09
2015-08-31,36.35,$2.79,13.01
2015-05-31,41.25,$1.82,22.7
2015-02-28,41.45,$1.43,28.9
2014-11-30,38.9,$1.70,22.82
2014-08-31,38.19,$1.45,26.29
2014-05-31,34.72,$1.39,24.91
2014-02-28,33.55,$0.95,35.51
2013-11-30,31.56,$1.29,24.46
2013-08-31,26.91,$1.02,26.38
2013-05-31,26.06,$2.13,12.21
2013-02-28,23.75,$1.79,13.25
2012-11-30,22.48,$1.77,12.72
2012-08-31,21.06,$1.75,12.01
2012-05-31,20.09,$1.73,11.58
2012-02-29,18.04,$1.15,15.63
2011-11-30,17.67,$0.95,18.63
2011-08-31,15.45,$1.27,12.13
2011-05-31,17.26,$1.55,11.14
2011-02-28,16.72,$1.35,12.37
2010-11-30,14.77,$1.36,10.84
2010-08-31,12.07,$0.05,243.25
2010-05-31,13.99,$0.64,21.72
2010-02-28,13.46,$0.99,13.64
2009-11-30,13.57,$1.37,9.94
