Blackstone Mortgage Trust Price to Free Cash Flow Ratio Historical Data,Blackstone Mortgage Trust Price to Free Cash Flow Ratio Historical Data,Blackstone Mortgage Trust Price to Free Cash Flow Ratio Historical Data,Blackstone Mortgage Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.73,,7.57
2024-06-30,17.0,$2.47,6.87
2024-03-31,18.76,$2.59,7.23
2023-12-31,19.43,$2.66,7.31
2023-09-30,19.33,$2.91,6.64
2023-06-30,17.98,$2.64,6.82
2023-03-31,14.97,$2.42,6.19
2022-12-31,17.15,$2.33,7.37
2022-09-30,18.38,$2.25,8.15
2022-06-30,21.23,$2.39,8.87
2022-03-31,23.87,$2.47,9.65
2021-12-31,22.55,$2.52,8.93
2021-09-30,21.89,$2.30,9.52
2021-06-30,22.57,$2.23,10.14
2021-03-31,21.52,$2.43,8.85
2020-12-31,18.74,$2.37,7.9
2020-09-30,14.63,$2.42,6.04
2020-06-30,15.6,$2.36,6.6
2020-03-31,11.76,$2.22,5.3
2019-12-31,22.78,$2.34,9.75
2019-09-30,21.58,$2.33,9.26
2019-06-30,21.05,$2.55,8.25
2019-03-31,20.1,$2.50,8.03
2018-12-31,18.2,$2.55,7.14
2018-09-30,18.78,$2.43,7.73
2018-06-30,17.29,$2.44,7.08
2018-03-31,16.95,$2.44,6.96
2017-12-31,17.02,$2.37,7.18
2017-09-30,16.1,$2.38,6.77
2017-06-30,16.08,$2.37,6.79
2017-03-31,15.46,$2.42,6.39
2016-12-31,14.72,$2.51,5.86
2016-09-30,14.12,$2.97,4.75
2016-06-30,13.0,$3.33,3.9
2016-03-31,12.33,$2.24,5.5
2015-12-31,12.01,$2.10,5.73
2015-09-30,12.04,$1.62,7.43
2015-06-30,11.93,$1.04,11.52
2015-03-31,11.95,$1.82,6.55
2014-12-31,12.05,$1.67,7.23
2014-09-30,11.01,$2.22,4.97
2014-06-30,11.57,$1.90,6.08
2014-03-31,11.28,$1.69,6.66
2013-12-31,10.47,$1.55,6.76
2013-09-30,9.56,$-1.48,0.0
2013-06-30,9.28,$0.42,21.89
2013-03-31,10.26,$-2.27,0.0
2012-12-31,7.89,$2.73,2.89
2012-09-30,6.75,$8.76,0.77
2012-06-30,5.16,$9.25,0.56
2012-03-31,6.75,$15.47,0.44
2011-12-31,4.03,$12.06,0.33
2011-09-30,3.99,$11.69,0.34
2011-06-30,6.93,$12.84,0.54
2011-03-31,4.1,$14.56,0.28
2010-12-31,2.77,$16.29,0.17
2010-09-30,2.9,$16.96,0.17
2010-06-30,2.95,$18.57,0.16
2010-03-31,2.77,$18.35,0.15
2009-12-31,2.27,$17.76,0.13
