HCI Price to Free Cash Flow Ratio Historical Data,HCI Price to Free Cash Flow Ratio Historical Data,HCI Price to Free Cash Flow Ratio Historical Data,HCI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,116.77,,3.66
2024-06-30,91.79,$31.89,2.88
2024-03-31,115.14,$25.65,4.49
2023-12-31,86.34,$20.30,4.25
2023-09-30,53.37,$8.66,6.16
2023-06-30,60.3,$-2.36,0.0
2023-03-31,51.95,$2.59,20.06
2022-12-31,38.07,$-0.72,0.0
2022-09-30,37.3,$2.30,16.19
2022-06-30,64.03,$0.92,69.93
2022-03-31,64.03,$12.97,4.94
2021-12-31,77.96,$10.86,7.18
2021-09-30,103.04,$5.66,18.22
2021-06-30,92.14,$8.38,10.99
2021-03-31,70.82,$3.42,20.71
2020-12-31,47.89,$7.31,6.55
2020-09-30,44.79,$7.63,5.87
2020-06-30,41.66,$13.06,3.19
2020-03-31,35.95,$11.17,3.22
2019-12-31,40.42,$5.00,8.09
2019-09-30,36.9,$5.72,6.45
2019-06-30,35.52,$3.83,9.28
2019-03-31,37.15,$5.90,6.3
2018-12-31,43.8,$3.34,13.09
2018-09-30,37.45,$-1.76,0.0
2018-06-30,35.26,$1.48,23.76
2018-03-31,32.09,$-1.73,0.0
2017-12-31,24.89,$1.67,14.9
2017-09-30,31.48,$5.34,5.89
2017-06-30,38.33,$4.07,9.41
2017-03-31,36.89,$7.37,5.01
2016-12-31,31.71,$8.04,3.94
2016-09-30,24.15,$3.14,7.7
2016-06-30,21.49,$3.50,6.13
2016-03-31,26.0,$1.53,17.04
2015-12-31,26.97,$3.91,6.89
2015-09-30,29.78,$11.33,2.63
2015-06-30,33.71,$9.27,3.64
2015-03-31,34.75,$9.86,3.52
2014-12-31,32.55,$7.55,4.31
2014-09-30,26.9,$6.27,4.29
2014-06-30,30.15,$6.18,4.88
2014-03-31,26.84,$6.39,4.2
2013-12-31,39.19,$4.68,8.38
2013-09-30,29.74,$11.17,2.66
2013-06-30,22.22,$11.88,1.87
2013-03-31,19.57,$9.70,2.02
2012-12-31,14.78,$10.71,1.38
2012-09-30,16.43,$8.55,1.92
2012-06-30,12.18,$6.82,1.79
2012-03-31,8.68,$9.81,0.88
2011-12-31,5.4,$7.10,0.76
2011-09-30,4.23,$0.44,9.65
2011-06-30,4.3,$0.94,4.57
2011-03-31,5.21,$-1.03,0.0
2010-12-31,5.09,$1.29,3.95
2010-09-30,3.95,$0.31,12.55
2010-06-30,3.55,$-0.20,0.0
2010-03-31,3.95,$-0.26,0.0
2009-12-31,4.74,$-2.05,0.0
