PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data,PACCAR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,96.18,,14.54
2024-06-30,102.62,$6.62,15.51
2024-03-31,123.16,$8.00,15.39
2023-12-31,96.83,$6.75,14.35
2023-09-30,81.34,$6.99,11.63
2023-06-30,79.77,$5.79,13.78
2023-03-31,69.56,$5.26,13.22
2022-12-31,62.49,$4.44,14.07
2022-09-30,51.18,$3.77,13.57
2022-06-30,50.18,$3.06,16.42
2022-03-31,53.45,$2.52,21.25
2021-12-31,53.38,$2.79,19.14
2021-09-30,46.73,$2.16,21.64
2021-06-30,52.62,$3.17,16.61
2021-03-31,54.59,$4.39,12.44
2020-12-31,50.52,$3.74,13.5
2020-09-30,49.36,$3.92,12.6
2020-06-30,43.17,$3.38,12.78
2020-03-31,35.09,$2.18,16.13
2019-12-31,45.22,$2.84,15.93
2019-09-30,38.74,$3.12,12.43
2019-06-30,39.47,$3.15,12.53
2019-03-31,37.35,$3.46,10.79
2018-12-31,31.17,$3.21,9.71
2018-09-30,35.77,$2.82,12.7
2018-06-30,32.36,$2.70,11.99
2018-03-31,34.41,$2.53,13.61
2017-12-31,36.82,$2.53,14.55
2017-09-30,36.71,$2.38,15.42
2017-06-30,33.39,$0.62,53.48
2017-03-31,33.84,$1.10,30.8
2016-12-31,32.07,$1.48,21.72
2016-09-30,29.12,$1.39,20.96
2016-06-30,25.59,$3.09,8.29
2016-03-31,26.86,$2.93,9.18
2015-12-31,23.17,$2.35,9.85
2015-09-30,24.63,$4.35,5.66
2015-06-30,30.03,$4.61,6.51
2015-03-31,29.61,$4.35,6.8
2014-12-31,31.79,$4.16,7.64
2014-09-30,26.11,$2.02,12.95
2014-06-30,28.74,$1.39,20.69
2014-03-31,30.74,$1.62,19.02
2013-12-31,26.88,$1.59,16.86
2013-09-30,24.81,$-0.44,0.0
2013-06-30,23.83,$0.15,157.0
2013-03-31,22.37,$-0.02,0.0
2012-12-31,19.92,$0.08,265.27
2012-09-30,17.24,$-0.08,0.0
2012-06-30,16.8,$-0.25,0.0
2012-03-31,19.98,$-0.09,0.0
2011-12-31,15.92,$0.52,30.61
2011-09-30,14.03,$3.01,4.67
2011-06-30,21.1,$3.65,5.79
2011-03-31,21.57,$3.51,6.15
2010-12-31,23.57,$3.25,7.26
2010-09-30,19.64,$3.78,5.2
2010-06-30,16.23,$3.29,4.94
2010-03-31,17.61,$3.55,4.96
2009-12-31,14.7,$3.23,4.55
