Hercules Capital Price to Free Cash Flow Ratio Historical Data,Hercules Capital Price to Free Cash Flow Ratio Historical Data,Hercules Capital Price to Free Cash Flow Ratio Historical Data,Hercules Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.14,,0.0
2024-06-30,19.92,$-1.03,0.0
2024-03-31,17.53,$-0.47,0.0
2023-12-31,15.43,$0.47,33.16
2023-09-30,14.75,$-1.00,0.0
2023-06-30,12.91,$-0.52,0.0
2023-03-31,10.86,$-2.35,0.0
2022-12-31,10.81,$-3.35,0.0
2022-09-30,9.14,$-1.92,0.0
2022-06-30,10.3,$-1.27,0.0
2022-03-31,13.38,$-0.05,0.0
2021-12-31,11.94,$1.11,10.78
2021-09-30,11.69,$2.31,5.06
2021-06-30,11.74,$1.87,6.28
2021-03-31,10.78,$1.64,6.58
2020-12-31,9.47,$1.85,5.12
2020-09-30,7.38,$-0.42,0.0
2020-06-30,6.5,$0.06,108.84
2020-03-31,4.59,$-1.13,0.0
2019-12-31,8.18,$-2.38,0.0
2019-09-30,7.61,$-3.70,0.0
2019-06-30,7.11,$-4.21,0.0
2019-03-31,6.85,$-4.95,0.0
2018-12-31,5.84,$-2.74,0.0
2018-09-30,6.78,$-2.36,0.0
2018-06-30,6.37,$-2.12,0.0
2018-03-31,5.95,$0.37,15.89
2017-12-31,6.28,$-0.23,0.0
2017-09-30,6.04,$-0.16,0.0
2017-06-30,6.05,$0.07,89.11
2017-03-31,6.75,$-0.58,0.0
2016-12-31,6.17,$-1.88,0.0
2016-09-30,5.79,$-1.34,0.0
2016-06-30,5.19,$-0.25,0.0
2016-03-31,4.89,$-1.02,0.0
2015-12-31,4.83,$-1.64,0.0
2015-09-30,3.89,$-0.99,0.0
2015-06-30,4.34,$-2.19,0.0
2015-03-31,4.94,$-2.77,0.0
2014-12-31,5.33,$-0.42,0.0
2014-09-30,5.08,$1.10,4.6
2014-06-30,5.57,$2.49,2.23
2014-03-31,4.74,$3.17,1.5
2013-12-31,5.42,$1.71,3.16
2013-09-30,4.95,$-2.06,0.0
2013-06-30,4.44,$-4.60,0.0
2013-03-31,3.82,$-4.46,0.0
2012-12-31,3.4,$-3.95,0.0
2012-09-30,3.29,$-3.37,0.0
2012-06-30,3.31,$-4.57,0.0
2012-03-31,3.17,$-4.18,0.0
2011-12-31,2.64,$-3.23,0.0
2011-09-30,2.33,$-2.91,0.0
2011-06-30,2.81,$-0.34,0.0
2011-03-31,2.87,$-1.62,0.0
2010-12-31,2.65,$-2.54,0.0
2010-09-30,2.54,$0.48,5.28
2010-06-30,2.27,$1.38,1.64
2010-03-31,2.56,$4.65,0.55
2009-12-31,2.46,$6.47,0.38
