Artivion Price to Free Cash Flow Ratio Historical Data,Artivion Price to Free Cash Flow Ratio Historical Data,Artivion Price to Free Cash Flow Ratio Historical Data,Artivion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.73,,105.78
2024-06-30,25.65,$0.25,101.5
2024-03-31,21.16,$0.31,67.8
2023-12-31,17.88,$0.28,63.93
2023-09-30,15.16,$0.00,0.0
2023-06-30,17.19,$-0.13,0.0
2023-03-31,13.1,$-0.51,0.0
2022-12-31,12.12,$-0.35,0.0
2022-09-30,13.84,$-0.39,0.0
2022-06-30,18.88,$-0.53,0.0
2022-03-31,21.38,$-0.36,0.0
2021-12-31,20.35,$-0.40,0.0
2021-09-30,22.29,$-0.22,0.0
2021-06-30,28.4,$0.06,491.35
2021-03-31,22.58,$-0.19,0.0
2020-12-31,23.61,$-0.12,0.0
2020-09-30,18.47,$0.08,219.62
2020-06-30,19.17,$-0.12,0.0
2019-12-31,27.09,$0.20,132.28
2019-09-30,27.15,$0.37,74.16
2019-06-30,29.93,$0.07,401.74
2019-03-31,29.17,$0.11,261.38
2018-12-31,28.38,$0.11,259.18
2020-03-31,16.92,$-0.33,0.0
2018-09-30,35.2,$-0.19,0.0
2018-06-30,27.85,$-0.26,0.0
2018-03-31,20.05,$-0.21,0.0
2017-12-31,19.15,$0.20,97.01
2017-09-30,22.7,$0.27,85.21
2017-03-31,16.65,$0.45,37.17
2016-12-31,19.15,$0.41,46.49
2016-09-30,17.57,$0.68,25.7
2016-06-30,11.81,$0.17,70.09
2016-03-31,10.75,$0.19,56.91
2015-12-31,10.78,$0.27,39.96
2017-06-30,19.95,$-0.07,0.0
2015-09-30,9.7,$0.37,26.23
2015-06-30,11.21,$0.29,38.16
2015-03-31,10.28,$0.25,40.91
2014-12-31,11.2,$0.13,83.27
2014-09-30,9.73,$0.16,60.24
2014-06-30,8.8,$0.33,26.42
2014-03-31,9.76,$0.42,23.26
2013-12-31,10.83,$0.45,24.13
2013-09-30,6.82,$0.55,12.42
2013-06-30,6.07,$0.52,11.64
2013-03-31,5.8,$0.46,12.54
2012-12-31,5.98,$0.58,10.3
2012-09-30,6.42,$0.41,15.48
2012-06-30,4.97,$0.39,12.59
2012-03-31,5.01,$0.42,11.85
2011-12-31,4.56,$0.51,8.91
2011-09-30,4.27,$0.64,6.68
2011-06-30,5.32,$0.58,9.17
2011-03-31,5.79,$0.27,21.79
2010-12-31,5.15,$0.35,14.65
2010-09-30,5.77,$0.34,17.08
2010-06-30,5.12,$0.29,17.6
2009-12-31,6.1,$0.53,11.6
2009-09-30,7.57,$0.43,17.53
