Sixth Street Specialty Lending Price to Free Cash Flow Ratio Historical Data,Sixth Street Specialty Lending Price to Free Cash Flow Ratio Historical Data,Sixth Street Specialty Lending Price to Free Cash Flow Ratio Historical Data,Sixth Street Specialty Lending Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.74,,266.24
2024-06-30,20.83,$0.08,267.4
2024-03-31,20.46,$-2.61,0.0
2023-12-31,20.1,$-2.78,0.0
2023-09-30,18.55,$-1.08,0.0
2023-06-30,16.54,$-4.66,0.0
2023-03-31,15.77,$-4.77,0.0
2022-12-31,14.87,$-2.87,0.0
2022-09-30,13.31,$-4.42,0.0
2022-06-30,14.73,$1.46,10.11
2022-03-31,18.12,$1.36,13.31
2021-12-31,17.79,$0.03,562.86
2021-09-30,16.19,$-1.18,0.0
2021-06-30,15.87,$-4.47,0.0
2021-03-31,14.73,$-0.49,0.0
2020-12-31,13.44,$2.16,6.23
2020-09-30,10.87,$1.91,5.71
2020-06-30,10.17,$3.14,3.24
2020-03-31,8.14,$-2.08,0.0
2019-12-31,12.24,$-5.72,0.0
2019-09-30,11.7,$1.13,10.32
2019-06-30,10.71,$0.55,19.56
2019-03-31,10.71,$3.32,3.23
2018-12-31,9.44,$1.86,5.07
2018-09-30,10.44,$-4.52,0.0
2018-06-30,8.97,$-4.16,0.0
2018-03-31,8.71,$-3.08,0.0
2017-12-31,9.44,$1.37,6.87
2017-09-30,9.78,$3.47,2.82
2017-06-30,9.31,$3.04,3.07
2017-03-31,8.93,$1.62,5.49
2016-12-31,8.18,$-0.71,0.0
2016-09-30,7.76,$-2.84,0.0
2016-06-30,6.97,$-2.20,0.0
2016-03-31,6.61,$-2.77,0.0
2015-12-31,6.49,$-3.54,0.0
2015-09-30,6.42,$-2.00,0.0
2015-06-30,6.5,$-3.90,0.0
2015-03-31,6.43,$-0.73,0.0
2014-12-31,6.15,$-2.95,0.0
