Shoe Carnival Price to Free Cash Flow Ratio Historical Data,Shoe Carnival Price to Free Cash Flow Ratio Historical Data,Shoe Carnival Price to Free Cash Flow Ratio Historical Data,Shoe Carnival Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.28,,11.07
2024-07-31,42.32,$3.64,11.64
2024-04-30,33.2,$3.15,10.55
2024-01-31,25.22,$2.43,10.4
2023-10-31,22.53,$1.59,14.19
2023-07-31,26.07,$0.22,120.31
2023-04-30,22.69,$-1.11,0.0
2023-01-31,26.54,$-0.97,0.0
2022-10-31,23.22,$-1.05,0.0
2022-07-31,21.03,$0.23,92.77
2022-04-30,28.99,$1.22,23.75
2022-01-31,32.7,$4.07,8.03
2021-10-31,32.36,$5.64,5.73
2021-07-31,32.13,$3.48,9.22
2021-04-30,28.53,$5.96,4.78
2021-01-31,22.31,$1.79,12.46
2020-10-31,14.67,$0.86,17.12
2020-07-31,11.6,$2.37,4.9
2020-04-30,11.12,$0.61,18.15
2020-01-31,16.79,$1.65,10.18
2019-10-31,15.51,$1.56,9.93
2019-07-31,11.83,$1.73,6.84
2019-04-30,16.57,$1.30,12.73
2019-01-31,17.09,$2.15,7.94
2018-10-31,18.84,$1.92,9.83
2018-07-31,14.48,$2.23,6.49
2018-04-30,11.22,$1.39,8.07
2018-01-31,10.49,$0.64,16.45
2017-10-31,8.59,$0.81,10.64
2017-07-31,8.33,$-0.07,0.0
2017-04-30,11.53,$0.65,17.83
2017-01-31,11.59,$1.16,9.95
2016-10-31,11.47,$0.88,13.06
2016-07-31,11.86,$1.31,9.05
2016-04-30,11.52,$0.55,20.84
2016-01-31,10.4,$0.79,13.18
2015-10-31,10.05,$0.87,11.54
2015-07-31,12.62,$0.39,32.16
2015-04-30,11.62,$1.02,11.38
2015-01-31,10.31,$0.63,16.36
2014-10-31,8.15,$0.18,44.41
2014-07-31,7.86,$0.06,139.81
2014-04-30,10.05,$0.29,34.87
2014-01-31,10.84,$0.19,56.51
2013-10-31,11.38,$-0.14,0.0
2013-07-31,11.67,$0.34,33.93
2013-04-30,9.08,$-0.75,0.0
2013-01-31,8.9,$-0.00,0.0
2012-10-31,9.63,$0.37,25.88
2012-07-31,9.13,$0.15,58.99
2012-04-30,7.97,$0.49,16.2
2012-01-31,6.91,$0.24,28.3
2011-10-31,7.46,$0.24,31.15
2011-07-31,8.64,$0.11,76.02
2011-04-30,8.0,$0.46,17.48
2011-01-31,6.77,$0.39,17.3
2010-10-31,6.26,$0.38,16.3
2010-07-31,5.75,$0.56,10.21
2010-04-30,7.56,$0.79,9.56
2010-01-31,4.99,$0.48,10.47
2009-10-31,4.1,$0.42,9.77
