Sabre Price to Free Cash Flow Ratio Historical Data,Sabre Price to Free Cash Flow Ratio Historical Data,Sabre Price to Free Cash Flow Ratio Historical Data,Sabre Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.62,,28.98
2024-06-30,2.67,$0.12,21.38
2024-03-31,2.42,$-0.07,0.0
2023-12-31,4.4,$-0.09,0.0
2023-09-30,4.49,$-1.45,0.0
2023-06-30,3.19,$-0.75,0.0
2023-03-31,4.29,$-1.91,0.0
2022-12-31,6.18,$-1.06,0.0
2022-09-30,5.15,$-0.11,0.0
2022-06-30,5.83,$-1.10,0.0
2022-03-31,11.43,$-0.24,0.0
2021-12-31,8.59,$-1.46,0.0
2021-09-30,11.84,$-1.99,0.0
2021-06-30,12.48,$-2.42,0.0
2021-03-31,14.81,$-3.57,0.0
2020-12-31,12.02,$-2.88,0.0
2020-09-30,6.51,$-1.69,0.0
2020-06-30,8.06,$-0.58,0.0
2020-03-31,5.93,$1.32,4.49
2019-12-31,21.65,$1.69,12.83
2019-09-30,21.47,$1.60,13.42
2019-06-30,21.16,$1.52,13.9
2019-03-31,20.26,$1.53,13.26
2018-12-31,20.36,$1.59,12.82
2018-09-30,24.38,$1.72,14.14
2018-06-30,22.91,$1.66,13.8
2018-03-31,19.84,$1.65,12.05
2017-12-31,18.84,$1.30,14.5
2017-09-30,16.52,$1.45,11.39
2017-06-30,19.72,$1.36,14.49
2017-03-31,19.08,$1.21,15.77
2016-12-31,22.32,$1.31,16.98
2016-09-30,25.08,$0.83,30.16
2016-06-30,23.73,$0.71,33.2
2016-03-31,25.5,$0.84,30.25
2015-12-31,24.54,$0.87,28.34
2015-09-30,23.77,$0.83,28.54
2015-06-30,20.75,$0.76,27.18
2015-03-31,21.11,$0.90,23.38
