Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data,Quest Diagnostics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,156.97,,20.14
2024-06-30,136.15,$7.79,17.47
2024-03-31,131.64,$8.38,15.7
2023-12-31,135.64,$7.65,17.74
2023-09-30,119.19,$5.17,23.04
2023-06-30,136.79,$7.58,18.03
2023-03-31,137.0,$7.40,18.52
2022-12-31,150.81,$11.14,13.54
2022-09-30,117.66,$11.90,9.88
2022-06-30,126.9,$12.50,10.15
2022-03-31,129.96,$12.97,10.02
2021-12-31,163.55,$14.30,11.44
2021-09-30,136.77,$14.80,9.24
2021-06-30,123.64,$16.50,7.5
2021-03-31,119.66,$15.23,7.86
2020-12-31,110.62,$11.67,9.48
2020-09-30,105.76,$10.15,10.42
2020-06-30,104.77,$6.00,17.46
2020-03-31,73.3,$5.74,12.78
2019-12-31,97.0,$6.20,15.65
2019-09-30,96.73,$5.90,16.38
2019-06-30,91.54,$6.76,13.55
2019-03-31,80.38,$6.78,11.85
2018-12-31,73.96,$5.88,12.58
2018-09-30,95.39,$6.56,14.53
2018-06-30,96.75,$6.39,15.14
2018-03-31,87.82,$6.27,14.01
2017-12-31,85.85,$6.59,13.02
2017-09-30,81.23,$6.44,12.61
2017-06-30,96.03,$6.00,16.01
2017-03-31,84.44,$6.15,13.73
2016-12-31,78.64,$5.80,13.57
2016-09-30,72.42,$5.45,13.28
2016-06-30,69.0,$4.87,14.18
2016-03-31,60.22,$4.61,13.06
2015-12-31,59.63,$3.85,15.49
2015-09-30,51.21,$4.14,12.38
2015-06-30,60.1,$4.20,14.31
2015-03-31,63.37,$4.25,14.92
2014-12-31,55.03,$4.39,12.55
2014-09-30,49.52,$3.72,13.31
2014-06-30,47.64,$3.48,13.68
2014-03-31,46.75,$2.87,16.26
2013-12-31,42.97,$2.75,15.62
2013-09-30,49.59,$3.92,12.64
2013-06-30,48.43,$5.16,9.38
2013-03-31,44.88,$5.45,8.24
2012-12-31,45.83,$6.28,7.3
2012-09-30,49.89,$6.08,8.21
2012-06-30,46.99,$5.79,8.11
2012-03-31,47.84,$4.66,10.27
2011-12-31,45.16,$4.59,9.84
2011-09-30,38.31,$4.23,9.06
2011-06-30,45.87,$4.05,11.34
2011-03-31,44.65,$4.81,9.29
2010-12-31,41.67,$5.15,8.1
2010-09-30,38.97,$5.33,7.31
2010-06-30,38.27,$5.41,7.08
2010-03-31,44.75,$4.29,10.42
2009-12-31,46.28,$4.42,10.46
