Barrett Business Services Price to Free Cash Flow Ratio Historical Data,Barrett Business Services Price to Free Cash Flow Ratio Historical Data,Barrett Business Services Price to Free Cash Flow Ratio Historical Data,Barrett Business Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.89,,31.3
2024-06-30,32.69,$1.21,27.0
2024-03-31,31.53,$3.32,9.5
2023-12-31,28.74,$2.03,14.18
2023-09-30,22.34,$0.99,22.53
2023-06-30,21.52,$0.93,23.08
2023-03-31,21.79,$0.59,37.02
2022-12-31,22.85,$0.41,55.96
2022-09-30,19.05,$0.91,21.0
2022-06-30,17.73,$-2.29,0.0
2022-03-31,18.78,$-1.65,0.0
2021-12-31,16.67,$-0.73,0.0
2021-09-30,18.34,$-0.55,0.0
2021-06-30,17.39,$2.72,6.39
2021-03-31,16.43,$-1.43,0.0
2020-12-31,16.2,$-1.19,0.0
2020-09-30,12.4,$-2.24,0.0
2020-06-30,12.5,$-2.87,0.0
2020-03-31,9.27,$1.10,8.45
2019-12-31,21.01,$2.15,9.76
2019-09-30,20.56,$2.34,8.79
2019-06-30,19.06,$2.79,6.84
2019-03-31,17.78,$3.20,5.55
2018-12-31,13.13,$2.11,6.22
2018-09-30,15.26,$3.08,4.95
2018-06-30,21.99,$3.64,6.04
2018-03-31,18.82,$3.56,5.28
2017-12-31,14.6,$3.61,4.04
2017-09-30,12.75,$2.65,4.81
2017-06-30,12.85,$2.86,4.49
2017-03-31,12.2,$2.79,4.38
2016-12-31,14.26,$2.53,5.64
2016-09-30,11.0,$3.45,3.19
2016-06-30,9.12,$3.00,3.04
2016-03-31,6.29,$2.83,2.22
2015-12-31,9.47,$3.32,2.85
2015-09-30,9.29,$2.91,3.19
2015-06-30,7.81,$2.44,3.2
2015-03-31,9.16,$2.23,4.1
2014-12-31,5.82,$2.27,2.57
2014-09-30,8.31,$1.79,4.64
2014-06-30,9.86,$1.94,5.09
2014-03-31,12.45,$1.11,11.26
2013-12-31,19.34,$1.20,16.15
2013-09-30,14.0,$1.07,13.12
2013-06-30,10.84,$0.24,45.82
2012-12-31,7.87,$1.33,5.9
2012-09-30,5.58,$1.36,4.1
2012-06-30,4.33,$1.15,3.77
2012-03-31,4.04,$1.31,3.08
2011-12-31,4.04,$1.07,3.78
2013-03-31,10.91,$1.01,10.79
2011-09-30,2.8,$0.88,3.19
2011-06-30,2.86,$0.67,4.28
2011-03-31,3.19,$0.65,4.89
2010-12-31,3.07,$0.39,7.8
2010-09-30,2.98,$0.22,13.85
2010-06-30,2.42,$0.19,12.9
2010-03-31,2.63,$0.05,52.5
2009-12-31,2.37,$0.05,46.16
