IRSA Inversiones Y Representaciones S.A Price to Free Cash Flow Ratio Historical Data,IRSA Inversiones Y Representaciones S.A Price to Free Cash Flow Ratio Historical Data,IRSA Inversiones Y Representaciones S.A Price to Free Cash Flow Ratio Historical Data,IRSA Inversiones Y Representaciones S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.29,,2.72
2024-03-31,9.36,$4.52,2.07
2023-12-31,8.6,$5.26,1.64
2023-09-30,5.72,$4.25,1.35
2023-06-30,7.92,$4.12,1.92
2023-03-31,5.18,$2.69,1.92
2022-12-31,4.26,$2.94,1.45
2022-09-30,3.46,$3.44,1.01
2022-06-30,3.06,$3.18,0.96
2022-03-31,4.24,$-0.40,0.0
2021-12-31,3.63,$1.99,1.82
2021-09-30,3.48,$4.69,0.74
2020-12-31,3.84,$5.84,0.66
2020-09-30,2.4,$12.45,0.19
2020-06-30,2.58,$12.88,0.2
2020-03-31,2.96,$11.84,0.25
2019-12-31,5.89,$11.21,0.53
2019-09-30,4.38,$6.44,0.68
2019-06-30,8.14,$4.60,1.77
2019-03-31,9.08,$10.04,0.9
2018-12-31,10.88,$1.95,5.57
2018-09-30,14.12,$13.37,1.06
2018-06-30,14.4,$12.72,1.13
2018-03-31,19.69,$6.22,3.17
2017-12-31,24.65,$14.02,1.76
2017-09-30,19.48,$3.94,4.94
2017-06-30,19.13,$4.77,4.01
2017-03-31,19.44,$5.82,3.34
2016-12-31,14.63,$5.96,2.45
2016-09-30,15.07,$7.21,2.09
2016-06-30,13.34,$6.00,2.22
2016-03-31,11.87,$-0.67,0.0
2015-12-31,9.76,$4.89,2.0
2015-09-30,11.53,$-4.47,0.0
2015-06-30,14.24,$1.87,7.63
2015-03-31,15.64,$7.30,2.14
2014-12-31,12.19,$1.57,7.78
2014-09-30,10.92,$9.24,1.18
2014-06-30,12.93,$2.87,4.51
2014-03-31,8.35,$3.16,2.64
2013-12-31,9.55,$3.44,2.78
2013-09-30,6.63,$3.53,1.88
2013-06-30,5.52,$3.60,1.53
2013-03-31,7.01,$3.18,2.2
2012-12-31,5.18,$3.50,1.48
2012-09-30,4.75,$3.20,1.49
2012-06-30,4.58,$3.32,1.38
2012-03-31,6.53,$4.60,1.42
2011-12-31,6.7,$2.68,2.5
2011-09-30,5.17,$2.97,1.74
2011-06-30,8.18,$2.29,3.57
2011-03-31,7.98,$-0.07,0.0
2010-12-31,9.26,$0.90,10.33
2010-09-30,8.24,$-0.22,0.0
2010-06-30,5.81,0,0.0
2010-03-31,6.03,$0.07,85.44
2009-12-31,5.27,0,0.0
