Banco Santander Brasil SA Price to Free Cash Flow Ratio Historical Data,Banco Santander Brasil SA Price to Free Cash Flow Ratio Historical Data,Banco Santander Brasil SA Price to Free Cash Flow Ratio Historical Data,Banco Santander Brasil SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.1,,inf
2024-06-30,4.87,0,0.0
2024-03-31,5.55,0,0.0
2023-09-30,4.83,$0.28,16.99
2022-09-30,5.01,$-0.26,0.0
2022-03-31,6.65,$-0.53,0.0
2021-12-31,4.52,$0.28,16.31
2021-09-30,5.38,$2.09,2.57
2021-06-30,6.59,$0.82,8.05
2021-03-31,5.55,$1.11,5.01
2020-12-31,6.75,$1.02,6.61
2023-06-30,5.92,$-0.00,0.0
2020-09-30,3.82,$2.62,1.46
2020-06-30,4.01,$2.66,1.51
2020-03-31,3.93,$2.19,1.79
2019-12-31,8.84,$1.53,5.77
2019-09-30,7.89,$0.30,26.72
2019-06-30,8.55,$0.33,26.21
2019-03-31,8.04,$0.85,9.45
2018-12-31,7.97,$0.50,15.83
2018-09-30,6.28,$1.98,3.17
2018-06-30,5.32,$2.05,2.6
2018-03-31,8.49,$2.54,3.34
2017-12-31,6.57,$4.03,1.63
2017-09-30,5.91,$3.24,1.82
2017-06-30,5.07,$2.88,1.76
2017-03-31,5.91,$1.82,3.24
2016-12-31,5.75,$0.44,12.98
2016-09-30,4.33,$0.02,253.31
2016-06-30,3.66,$0.61,5.99
2016-03-31,2.98,$0.79,3.78
2015-12-31,2.36,$0.24,9.85
2015-09-30,1.91,$-0.74,0.0
2015-06-30,3.12,$1.13,2.77
2015-03-31,2.53,$14.35,0.18
2014-12-31,2.84,$-0.63,0.0
2014-09-30,3.69,$-30.69,0.0
2014-06-30,3.87,$-4.74,0.0
2014-03-31,3.1,$-27.32,0.0
2013-12-31,3.34,0,0.0
2013-09-30,3.77,$17.21,0.22
2013-06-30,3.33,$2.26,1.48
2013-03-31,3.87,$9.96,0.39
2012-12-31,3.88,$2.24,1.73
2012-09-30,3.84,$16.41,0.23
2012-06-30,3.97,$-9.51,0.0
2012-03-31,4.67,$-14.07,0.0
2011-12-31,4.15,$-44.99,0.0
2011-09-30,3.68,$-35.89,0.0
2011-03-31,5.99,$-22.42,0.0
2010-12-31,6.59,$-16.60,0.0
2010-09-30,6.55,$-1.63,0.0
2010-06-30,4.85,$-27.83,0.0
