German American Bancorp Price to Free Cash Flow Ratio Historical Data,German American Bancorp Price to Free Cash Flow Ratio Historical Data,German American Bancorp Price to Free Cash Flow Ratio Historical Data,German American Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.13,,12.68
2024-06-30,35.1,$3.24,10.82
2024-03-31,34.11,$3.32,10.28
2023-12-31,31.64,$3.56,8.9
2023-09-30,26.21,$3.33,7.87
2023-06-30,26.09,$3.59,7.27
2023-03-31,31.73,$3.03,10.46
2022-12-31,35.24,$3.47,10.16
2022-09-30,33.54,$3.54,9.47
2022-06-30,31.91,$3.52,9.06
2022-03-31,35.24,$4.10,8.6
2021-12-31,35.95,$3.70,9.72
2021-09-30,35.45,$4.16,8.53
2021-06-30,33.95,$3.57,9.51
2021-03-31,41.97,$3.54,11.85
2020-12-31,29.87,$3.36,8.88
2020-09-30,24.36,$2.63,9.25
2020-06-30,27.73,$3.31,8.37
2020-03-31,24.31,$2.51,9.68
2019-12-31,31.37,$2.23,14.06
2019-09-30,28.09,$2.28,12.3
2019-06-30,26.25,$1.59,16.56
2019-03-31,25.48,$2.22,11.46
2018-12-31,23.93,$2.03,11.76
2018-09-30,30.26,$1.61,18.79
2018-06-30,30.62,$1.67,18.3
2018-03-31,28.37,$1.41,20.06
2017-12-31,29.92,$1.91,15.7
2017-09-30,32.09,$1.92,16.68
2017-06-30,28.65,$1.56,18.4
2017-03-31,26.42,$2.01,13.17
2016-12-31,29.24,$1.64,17.85
2016-09-30,21.54,$1.38,15.61
2016-06-30,17.6,$1.90,9.24
2016-03-31,17.63,$1.52,11.61
2015-12-31,18.13,$1.49,12.16
2015-09-30,15.85,$2.01,7.9
2015-06-30,15.85,$1.87,8.46
2015-03-31,15.75,$1.73,9.09
2014-12-31,16.24,$1.69,9.63
2014-09-30,13.66,$1.45,9.42
2014-06-30,14.24,$1.88,7.58
2014-03-31,15.1,$2.42,6.23
2013-12-31,14.76,$1.98,7.44
2013-09-30,13.03,$2.22,5.87
2013-06-30,11.57,$0.88,13.15
2013-03-31,11.74,$1.01,11.64
2012-12-31,11.01,$2.02,5.44
2012-09-30,12.14,$1.37,8.88
2012-06-30,10.25,$1.89,5.42
2012-03-31,9.65,$1.25,7.71
2011-12-31,8.97,$1.20,7.48
2011-09-30,7.89,$1.67,4.72
2011-06-30,8.04,$1.63,4.94
2011-03-31,8.27,$1.39,5.97
2010-12-31,8.79,$0.95,9.29
2010-09-30,8.13,$0.53,15.46
2010-06-30,7.19,$0.90,7.99
2010-03-31,7.04,$1.24,5.68
2009-12-31,7.49,$0.47,15.95
