Embotelladora Andina S.A Price to Free Cash Flow Ratio Historical Data,Embotelladora Andina S.A Price to Free Cash Flow Ratio Historical Data,Embotelladora Andina S.A Price to Free Cash Flow Ratio Historical Data,Embotelladora Andina S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.01,,11.21
2024-06-30,14.42,$1.25,11.53
2024-03-31,12.53,$1.26,9.98
2023-12-31,13.0,$1.33,9.81
2023-09-30,11.56,$1.08,10.73
2023-06-30,12.3,$0.82,14.95
2023-03-31,12.13,$1.19,10.21
2022-12-31,10.86,$1.47,7.39
2022-09-30,8.79,$1.19,7.37
2022-06-30,9.63,$1.45,6.66
2022-03-31,10.89,$1.70,6.42
2021-12-31,10.48,$1.37,7.65
2021-09-30,10.99,$1.80,6.11
2021-06-30,12.41,$1.90,6.55
2021-03-31,13.01,$1.55,8.41
2020-12-31,12.75,$1.59,8.02
2020-09-30,9.97,$1.49,6.71
2020-06-30,11.33,$1.31,8.63
2020-03-31,9.24,$1.31,7.05
2019-12-31,14.01,$1.28,10.93
2019-09-30,15.38,$1.48,10.42
2019-06-30,16.62,$1.14,14.54
2019-03-31,16.59,$1.25,13.32
2018-12-31,16.32,$1.16,14.06
2018-09-30,16.95,$0.61,27.95
2018-06-30,17.32,$0.86,20.21
2018-03-31,21.35,$0.60,35.62
2017-12-31,22.03,$0.75,29.25
2017-09-30,20.15,$1.01,19.93
2017-06-30,18.59,$0.86,21.71
2017-03-31,18.28,$0.92,19.77
2016-12-31,16.55,$0.79,21.07
2016-09-30,17.06,$0.82,20.9
2016-06-30,15.28,$1.09,14.04
2016-03-31,13.36,$0.94,14.19
2015-12-31,12.7,$1.47,8.64
2015-09-30,13.2,$3.11,4.25
2015-06-30,11.68,$2.98,3.92
2015-03-31,9.62,$3.11,3.09
2014-12-31,10.82,$2.60,4.17
2014-09-30,12.12,$0.27,45.66
2014-06-30,13.85,$0.29,48.58
2014-03-31,13.1,$0.05,244.33
2013-09-30,18.1,$0.49,37.23
2013-06-30,19.66,$0.59,33.22
2013-03-31,22.87,$0.31,72.88
2012-12-31,21.38,$0.61,35.15
2012-09-30,19.58,$0.26,75.79
2012-06-30,18.73,$0.42,44.37
2012-03-31,19.25,$0.33,58.56
2011-12-31,14.53,$0.24,61.51
2011-09-30,14.18,$0.02,627.62
2011-06-30,16.97,$0.03,515.67
2011-03-31,15.98,$0.16,98.97
2010-12-31,15.99,$0.49,32.71
2010-09-30,15.97,$-0.53,0.0
2010-06-30,11.89,$-0.52,0.0
2010-03-31,11.29,$-0.18,0.0
2013-12-31,15.44,$-0.42,0.0
2009-12-31,10.9,$1.03,10.55
