Edgewise Therapeutics Price to Free Cash Flow Ratio Historical Data,Edgewise Therapeutics Price to Free Cash Flow Ratio Historical Data,Edgewise Therapeutics Price to Free Cash Flow Ratio Historical Data,Edgewise Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.51,,0.0
2024-06-30,18.01,$-1.36,0.0
2024-03-31,18.24,$-1.43,0.0
2023-12-31,10.94,$-1.53,0.0
2023-09-30,5.73,$-1.37,0.0
2023-06-30,7.75,$-1.25,0.0
2023-03-31,6.67,$-1.25,0.0
2022-12-31,8.94,$-1.09,0.0
2022-09-30,9.84,$-1.24,0.0
2022-06-30,7.96,$-1.19,0.0
2022-03-31,9.7,$2.75,3.53
2021-12-31,15.28,$-0.91,0.0
