Rocket Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rocket Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rocket Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rocket Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.43,,0.0
2024-06-30,21.53,$-2.30,0.0
2024-03-31,26.94,$-2.38,0.0
2023-12-31,29.97,$-2.52,0.0
2023-09-30,20.49,$-2.96,0.0
2023-06-30,19.87,$-2.90,0.0
2023-03-31,17.13,$-2.86,0.0
2022-12-31,19.57,$-2.74,0.0
2022-09-30,15.96,$-2.46,0.0
2022-06-30,13.76,$-2.28,0.0
2022-03-31,15.86,$-2.28,0.0
2021-12-31,21.83,$-2.04,0.0
2021-09-30,29.89,$-1.98,0.0
2021-06-30,44.29,$-1.81,0.0
2021-03-31,44.37,$-1.62,0.0
2020-12-31,54.84,$-1.72,0.0
2020-09-30,22.86,$-1.86,0.0
2020-06-30,20.93,$-1.89,0.0
2020-03-31,13.95,$-1.92,0.0
2019-12-31,22.76,$-1.79,0.0
2019-09-30,11.65,$-1.73,0.0
2019-06-30,15.0,$-1.70,0.0
2019-03-31,17.54,$-1.45,0.0
2018-12-31,14.82,$-1.40,0.0
2018-09-30,24.62,$-1.73,0.0
2018-06-30,19.63,$-2.03,0.0
2018-03-31,18.75,$-2.21,0.0
2017-12-31,10.44,$-2.46,0.0
2017-09-30,7.12,$1.50,4.74
2017-06-30,7.6,$0.76,9.97
2017-03-31,8.0,$-0.06,0.0
2016-12-31,24.4,$-0.85,0.0
2016-09-30,37.92,$-6.34,0.0
2016-06-30,29.76,$-5.45,0.0
2016-03-31,29.6,$-5.26,0.0
2015-12-31,45.32,$-5.79,0.0
