Sonoco Products Price to Free Cash Flow Ratio Historical Data,Sonoco Products Price to Free Cash Flow Ratio Historical Data,Sonoco Products Price to Free Cash Flow Ratio Historical Data,Sonoco Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.44,,12.09
2024-06-30,50.19,$4.42,11.35
2024-03-31,56.73,$4.95,11.46
2023-12-31,54.31,$5.14,10.56
2023-09-30,52.33,$3.99,13.13
2023-06-30,56.32,$3.29,17.12
2022-12-31,56.95,$1.92,29.61
2022-09-30,52.76,$0.61,86.07
2022-06-30,52.64,$0.97,54.31
2022-03-31,57.26,$0.54,106.37
2021-12-31,52.58,$0.33,161.54
2023-03-31,57.71,$1.62,35.7
2021-09-30,53.72,$2.16,24.84
2021-06-30,59.89,$3.20,18.74
2021-03-31,56.3,$5.60,10.06
2020-12-31,52.31,$5.18,10.09
2020-09-30,44.74,$5.25,8.53
2020-06-30,45.44,$5.10,8.91
2020-03-31,39.91,$2.48,16.09
2019-12-31,52.71,$2.42,21.81
2019-09-30,49.35,$1.75,28.21
2019-06-30,54.99,$1.91,28.86
2019-03-31,51.43,$3.84,13.38
2018-12-31,44.1,$4.17,10.57
2018-09-30,45.74,$3.60,12.7
2018-06-30,42.95,$3.24,13.27
2018-03-31,39.37,$2.28,17.27
2017-12-31,42.79,$1.63,26.21
2017-09-30,40.31,$4.13,9.76
2017-06-30,40.76,$4.01,10.17
2017-03-31,41.64,$4.89,8.52
2016-12-31,41.17,$4.84,8.51
2016-09-30,40.98,$2.93,14.01
2016-06-30,38.24,$2.61,14.66
2016-03-31,37.11,$2.50,14.83
2015-12-31,30.97,$2.86,10.82
2015-09-30,28.36,$3.10,9.14
2015-06-30,31.94,$3.33,9.59
2015-03-31,33.62,$2.80,11.99
2014-12-31,32.1,$2.41,13.32
2014-09-30,28.64,$2.22,12.89
2014-06-30,31.76,$2.38,13.36
2014-03-31,29.43,$2.95,9.97
2013-12-31,29.71,$3.64,8.16
2013-09-30,27.52,$3.42,8.06
2013-06-30,24.24,$3.23,7.5
2013-03-31,24.32,$2.41,10.08
2012-12-31,20.47,$2.15,9.5
2012-09-30,21.12,$2.14,9.88
2012-06-30,20.35,$1.59,12.81
2012-03-31,22.19,$-1.00,0.0
2011-12-31,21.83,$-0.85,0.0
2011-09-30,18.53,$-0.48,0.0
2011-06-30,23.1,$-0.92,0.0
2010-12-31,21.54,$2.24,9.64
2010-09-30,21.21,$4.90,4.33
2010-06-30,19.16,$3.39,5.65
2010-03-31,19.2,$4.77,4.03
2009-12-31,18.07,$5.15,3.51
2011-03-31,23.36,$2.21,10.55
