Weis Markets Price to Free Cash Flow Ratio Historical Data,Weis Markets Price to Free Cash Flow Ratio Historical Data,Weis Markets Price to Free Cash Flow Ratio Historical Data,Weis Markets Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,66.8,,23.37
2024-06-30,62.49,$2.86,21.86
2024-03-31,63.78,$3.98,16.04
2023-12-31,62.99,$3.66,17.21
2023-09-30,61.73,$0.17,355.2
2023-06-30,62.59,$3.60,17.41
2023-03-31,82.18,$2.87,28.68
2022-12-31,79.55,$3.81,20.87
2022-09-30,68.6,$2.89,23.74
2022-06-30,71.48,$3.36,21.28
2022-03-31,68.22,$4.45,15.34
2021-12-31,62.6,$3.04,20.58
2021-09-30,49.68,$3.95,12.57
2021-06-30,48.55,$3.19,15.24
2021-03-31,52.82,$0.94,56.12
2020-12-31,44.43,$5.48,8.1
2020-09-30,44.31,$4.28,10.34
2020-06-30,45.98,$4.81,9.55
2020-03-31,38.01,$6.18,6.15
2019-12-31,36.64,$2.77,13.23
2019-09-30,34.25,$2.89,11.85
2019-06-30,32.42,$1.96,16.55
2019-03-31,36.34,$1.33,27.43
2018-12-31,42.3,$2.09,20.21
2018-09-30,38.17,$3.03,12.59
2018-06-30,46.65,$2.93,15.95
2018-03-31,35.6,$3.81,9.33
2017-12-31,35.68,$2.44,14.64
2017-09-30,37.22,$0.91,40.89
2017-06-30,41.43,$0.46,90.0
2017-03-31,50.46,$-0.33,0.0
2016-12-31,56.26,$0.27,205.27
2016-09-30,44.38,$1.01,44.13
2016-06-30,42.09,$1.57,26.79
2016-03-31,37.27,$1.72,21.66
2015-12-31,36.36,$1.80,20.19
2015-09-30,34.02,$1.77,19.23
2015-06-30,34.11,$1.92,17.75
2015-03-31,40.0,$1.47,27.15
2014-12-31,38.19,$1.77,21.61
2014-09-30,30.96,$1.21,25.56
2014-06-30,36.03,$0.62,58.28
2014-03-31,38.55,$1.15,33.52
2013-12-31,40.88,$0.71,57.79
2013-09-30,37.84,$0.73,51.89
2013-06-30,34.64,$0.64,54.47
2013-03-31,31.06,$0.49,63.3
2012-12-31,29.67,$0.62,47.71
2012-09-30,31.83,$1.15,27.77
2012-06-30,33.26,$1.94,17.17
2012-03-31,32.35,$1.64,19.75
2011-12-31,29.43,$1.64,17.99
2011-09-30,25.77,$1.19,21.57
2011-06-30,28.12,$1.45,19.36
2011-03-31,27.73,$2.21,12.55
2010-12-31,27.44,$2.93,9.36
2010-09-30,26.43,$2.69,9.83
2010-06-30,22.05,$2.97,7.43
2010-03-31,24.17,$2.12,11.38
2009-12-31,23.96,$2.77,8.64
