First Horizon Price to Free Cash Flow Ratio Historical Data,First Horizon Price to Free Cash Flow Ratio Historical Data,First Horizon Price to Free Cash Flow Ratio Historical Data,First Horizon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.44,,5.68
2024-06-30,15.62,$3.07,5.09
2024-03-31,15.1,$3.86,3.91
2023-12-31,13.74,$2.25,6.11
2023-09-30,10.58,$1.65,6.4
2023-06-30,10.68,$1.77,6.05
2023-03-31,16.64,$2.65,6.28
2022-12-31,22.71,$4.03,5.64
2022-09-30,21.1,$4.31,4.9
2022-06-30,20.01,$2.17,9.23
2022-03-31,21.36,$2.26,9.47
2021-12-31,14.75,$1.84,8.03
2021-09-30,14.59,$2.66,5.49
2021-06-30,15.32,$6.27,2.44
2020-12-31,11.13,$0.29,38.3
2020-09-30,8.13,$0.10,81.28
2020-06-30,8.45,$0.87,9.71
2020-03-31,6.73,$-0.80,0.0
2019-12-31,13.6,$4.40,3.09
2021-03-31,14.87,$4.13,3.6
2019-09-30,13.19,$3.33,3.96
2019-06-30,12.05,$1.67,7.22
2019-03-31,11.18,$1.70,6.58
2018-12-31,10.42,$0.66,15.8
2018-09-30,13.55,$0.68,19.84
2018-06-30,13.92,$1.72,8.08
2018-03-31,14.6,$-0.65,0.0
2017-12-31,15.41,$-0.32,0.0
2017-09-30,14.69,$0.37,39.86
2017-06-30,13.29,$-1.21,0.0
2017-03-31,14.04,$0.72,19.41
2016-12-31,15.11,$0.55,27.6
2016-09-30,11.46,$-0.67,0.0
2016-06-30,10.32,$0.78,13.27
2016-03-31,9.77,$1.68,5.8
2015-12-31,10.77,$1.56,6.9
2015-09-30,10.47,$1.42,7.36
2015-06-30,11.52,$1.86,6.21
2015-03-31,10.47,$0.79,13.2
2014-12-31,9.91,$2.86,3.46
2014-09-30,8.92,$3.69,2.42
2014-06-30,8.58,$2.97,2.89
2014-03-31,8.89,$2.92,3.04
2013-12-31,8.36,$1.69,4.95
2013-09-30,7.85,$1.42,5.53
2013-06-30,7.97,$3.04,2.62
2013-03-31,7.56,$2.27,3.32
2012-12-31,6.99,$1.44,4.86
2012-09-30,6.78,$0.71,9.59
2012-06-30,6.09,$-0.04,0.0
2012-03-31,7.29,$0.26,27.93
2011-12-31,5.62,$0.03,172.26
2011-09-30,4.18,$2.36,1.77
2011-06-30,6.68,$4.04,1.65
2011-03-31,7.84,$2.74,2.86
2010-12-31,8.23,$3.08,2.67
2010-09-30,7.26,$0.97,7.46
2010-06-30,6.66,$-0.36,0.0
2010-03-31,7.51,$2.90,2.59
2009-12-31,6.66,$3.26,2.05
