Ryder System Price to Free Cash Flow Ratio Historical Data,Ryder System Price to Free Cash Flow Ratio Historical Data,Ryder System Price to Free Cash Flow Ratio Historical Data,Ryder System Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,149.86,,0.0
2024-06-30,123.16,$-17.53,0.0
2024-03-31,118.82,$-17.42,0.0
2023-12-31,113.0,$-11.84,0.0
2023-09-30,104.34,$-1.37,0.0
2022-12-31,79.81,$17.96,4.44
2022-09-30,71.61,$34.15,2.1
2022-06-30,66.89,$30.42,2.2
2022-03-31,74.14,$26.05,2.85
2021-12-31,76.47,$30.70,2.49
2023-03-31,85.77,$17.61,4.87
2021-09-30,76.2,$22.69,3.36
2021-06-30,67.95,$29.84,2.28
2021-03-31,68.68,$32.71,2.1
2020-12-31,55.59,$30.31,1.83
2020-09-30,37.65,$20.97,1.8
2020-06-30,32.96,$8.43,3.91
2020-03-31,22.81,$-10.13,0.0
2019-12-31,46.2,$-20.57,0.0
2019-09-30,43.58,$-24.21,0.0
2019-06-30,48.51,$-28.34,0.0
2019-03-31,51.1,$-21.63,0.0
2018-12-31,39.36,$-17.76,0.0
2018-09-30,59.15,$-11.22,0.0
2018-06-30,57.77,$-4.58,0.0
2018-03-31,58.06,$-1.98,0.0
2017-12-31,66.69,$3.71,17.97
2017-09-30,66.59,$4.91,13.55
2017-06-30,56.33,$5.72,9.84
2017-03-31,58.63,$18.44,3.18
2016-12-31,57.52,$15.23,3.78
2016-09-30,50.68,$8.83,5.74
2016-06-30,46.67,$1.27,36.62
2015-12-31,42.81,$-15.00,0.0
2015-09-30,55.44,$-18.56,0.0
2015-06-30,65.1,$-15.76,0.0
2015-03-31,70.43,$-9.07,0.0
2014-12-31,68.65,$-10.02,0.0
2016-03-31,49.15,$-8.50,0.0
2014-09-30,66.25,$-9.76,0.0
2014-06-30,64.59,$-13.25,0.0
2014-03-31,58.36,$-10.93,0.0
2013-12-31,53.62,$-8.04,0.0
2013-09-30,43.17,$-4.51,0.0
2013-06-30,43.7,$-4.04,0.0
2013-03-31,42.74,$-6.37,0.0
2012-12-31,35.52,$-8.99,0.0
2012-09-30,27.59,$-12.78,0.0
2012-06-30,25.25,$-10.25,0.0
2012-03-31,36.77,$-9.53,0.0
2011-12-31,36.81,$-6.27,0.0
2011-09-30,25.84,$-1.46,0.0
2011-06-30,38.89,$-1.97,0.0
2011-03-31,34.45,$0.95,36.29
2010-12-31,35.64,$3.71,9.6
2010-09-30,28.78,$4.59,6.27
2010-06-30,26.89,$7.70,3.49
2010-03-31,25.76,$11.12,2.32
2009-12-31,27.17,$9.96,2.73
2009-09-30,25.62,$7.75,3.3
