ANI Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ANI Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ANI Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ANI Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.12,,9.94
2024-06-30,63.68,$6.05,10.53
2024-03-31,69.13,$6.30,10.98
2023-12-31,55.14,$6.05,9.11
2023-09-30,58.06,$3.07,18.93
2023-06-30,53.83,$1.69,31.86
2023-03-31,39.72,$0.03,1337.37
2022-12-31,40.23,$-2.42,0.0
2022-09-30,32.14,$-2.78,0.0
2022-06-30,29.67,$-3.35,0.0
2022-03-31,28.11,$-2.69,0.0
2021-12-31,46.08,$0.27,170.04
2021-09-30,32.82,$0.45,72.92
2021-06-30,35.05,$0.66,53.1
2021-03-31,36.14,$2.41,14.99
2020-12-31,29.04,$0.76,38.05
2020-09-30,28.21,$1.68,16.78
2020-06-30,32.34,$3.66,8.83
2020-03-31,40.74,$2.19,18.56
2019-12-31,61.67,$3.24,19.04
2019-09-30,72.88,$5.21,14.0
2019-06-30,82.2,$4.09,20.07
2019-03-31,70.54,$4.50,15.66
2018-12-31,45.02,$5.21,8.64
2018-09-30,56.54,$4.06,13.92
2018-06-30,66.8,$4.73,14.14
2018-03-31,58.22,$3.90,14.92
2017-12-31,64.45,$2.52,25.62
2017-09-30,52.49,$2.36,22.26
2017-06-30,46.8,$1.10,42.56
2017-03-31,49.51,$1.52,32.56
2016-12-31,60.62,$1.98,30.63
2016-09-30,66.35,$1.36,48.7
2016-06-30,55.82,$2.19,25.5
2016-03-31,33.66,$2.05,16.39
2015-12-31,45.13,$1.30,34.58
2015-09-30,39.51,$1.96,20.21
2015-06-30,62.05,$1.46,42.36
2015-03-31,62.55,$1.47,42.46
2014-12-31,56.39,$1.89,29.8
2014-09-30,28.28,$0.10,271.4
2014-06-30,34.44,$0.45,76.4
2014-03-31,31.35,$-0.61,0.0
2013-12-31,20.08,$-1.12,0.0
2013-09-30,9.77,$-153.98,0.0
2013-06-30,6.0,$-0.97,0.0
2013-03-31,7.02,$2.40,2.93
2012-12-31,7.38,0,0.0
2012-09-30,11.34,$148.86,0.08
2012-06-30,15.3,$-8.24,0.0
2012-03-31,24.48,$-15.63,0.0
2011-12-31,18.08,$-17.78,0.0
2011-09-30,82.08,$-21.78,0.0
2011-06-30,99.0,$-23.08,0.0
2011-03-31,71.28,$-22.53,0.0
2010-12-31,59.04,$-21.93,0.0
2010-09-30,60.48,$-18.09,0.0
2010-06-30,63.36,$-16.67,0.0
2010-03-31,64.44,$-17.60,0.0
2009-12-31,52.2,$-19.71,0.0
