HA Sustainable Infrastructure Capital Price to Free Cash Flow Ratio Historical Data,HA Sustainable Infrastructure Capital Price to Free Cash Flow Ratio Historical Data,HA Sustainable Infrastructure Capital Price to Free Cash Flow Ratio Historical Data,HA Sustainable Infrastructure Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.34,,28.71
2024-06-30,29.6,$1.23,24.04
2024-03-31,27.96,$1.44,19.48
2023-12-31,27.16,$0.91,29.82
2023-09-30,20.1,$0.19,103.73
2023-06-30,23.33,$1.02,22.85
2023-03-31,26.69,$0.93,28.68
2022-12-31,26.68,$0.00,0.0
2022-09-30,26.88,$0.53,50.4
2022-06-30,33.66,$-0.18,0.0
2022-03-31,41.85,$-0.05,0.0
2021-12-31,46.87,$0.15,308.74
2021-09-30,46.87,$0.58,81.18
2021-06-30,48.59,$0.42,115.97
2021-03-31,48.24,$0.62,78.22
2020-12-31,54.54,$0.99,55.36
2020-09-30,35.88,$0.66,54.76
2020-06-30,23.87,$0.68,35.27
2020-03-31,16.8,$0.56,30.04
2019-12-31,26.48,$0.46,58.17
2019-09-30,23.46,$0.95,24.76
2019-06-30,22.42,$0.94,23.96
2019-03-31,20.13,$0.54,37.0
2018-12-31,14.96,$0.59,25.26
2018-09-30,16.32,$-0.68,0.0
2018-06-30,14.76,$-1.11,0.0
2018-03-31,14.32,$-0.92,0.0
2017-12-31,17.67,$-3.16,0.0
2017-09-30,17.41,$-2.33,0.0
2017-06-30,16.11,$-1.18,0.0
2017-03-31,14.0,$-1.24,0.0
2016-12-31,13.16,$0.97,13.54
2016-09-30,15.71,$0.81,19.44
2016-06-30,14.32,$0.05,262.72
2016-03-31,12.74,$-0.67,0.0
2015-12-31,12.34,$-0.79,0.0
2015-09-30,11.06,$-2.15,0.0
2015-06-30,12.68,$-3.12,0.0
2015-03-31,11.41,$-2.51,0.0
2014-12-31,8.76,$-1.09,0.0
2014-09-30,8.35,$-0.17,0.0
2014-06-30,8.53,$0.82,10.37
2014-03-31,8.41,$0.69,12.25
