Graco Price to Free Cash Flow Ratio Historical Data,Graco Price to Free Cash Flow Ratio Historical Data,Graco Price to Free Cash Flow Ratio Historical Data,Graco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,85.9,,32.11
2024-06-30,79.04,$2.68,29.54
2024-03-31,92.91,$2.88,32.31
2023-12-31,85.99,$2.71,31.76
2023-09-30,72.0,$2.30,31.3
2023-06-30,85.08,$1.85,45.89
2023-03-31,71.7,$-0.53,0.0
2022-12-31,65.83,$-0.55,0.0
2022-09-30,58.47,$-0.23,0.0
2022-06-30,57.74,$-0.19,0.0
2021-12-31,77.38,$1.85,41.77
2021-09-30,66.98,$3.54,18.93
2021-06-30,72.29,$2.82,25.61
2021-03-31,68.22,$2.96,23.07
2020-12-31,68.74,$2.94,23.42
2022-03-31,67.11,$1.17,57.17
2020-09-30,58.14,$1.81,32.09
2020-06-30,45.32,$0.53,86.28
2020-03-31,45.85,$0.66,69.68
2019-12-31,48.77,$0.87,56.25
2019-09-30,43.03,$0.86,49.85
2018-12-31,38.73,$1.81,21.35
2018-09-30,42.74,$1.70,25.08
2018-06-30,41.58,$1.85,22.48
2018-03-31,41.92,$1.75,23.98
2017-12-31,41.46,$1.71,24.28
2017-09-30,37.7,$1.60,23.58
2017-06-30,33.2,$1.66,20.01
2017-03-31,28.49,$1.52,18.75
2016-12-31,25.04,$1.37,18.29
2016-09-30,22.2,$1.24,17.97
2016-06-30,23.59,$0.96,24.57
2016-03-31,24.98,$4.18,5.98
2015-12-31,21.34,$4.29,4.97
2015-09-30,19.76,$4.42,4.47
2015-06-30,20.84,$4.50,4.63
2015-03-31,21.09,$1.23,17.16
2014-12-31,23.34,$1.14,20.53
2014-09-30,21.16,$1.08,19.69
2014-06-30,22.56,$1.05,21.59
2014-03-31,21.51,$1.09,19.76
2013-12-31,22.41,$1.18,19.07
2013-09-30,21.17,$1.17,18.03
2013-06-30,18.01,$1.12,16.05
2013-03-31,16.46,$1.03,15.92
2012-12-31,14.54,$0.93,15.7
2012-09-30,14.13,$0.89,15.81
2012-06-30,12.88,$0.50,25.75
2012-03-31,14.77,$0.66,22.3
2011-12-31,11.32,$0.70,16.24
2011-09-30,9.4,$0.49,19.01
2019-06-30,46.75,$0.72,65.21
2011-06-30,13.89,$0.52,26.53
2011-03-31,12.41,$0.40,31.12
2010-12-31,10.71,$0.46,23.12
2010-09-30,8.56,$0.36,23.61
2010-06-30,7.56,$0.38,19.73
2019-03-31,46.0,$0.60,76.37
2010-03-31,8.53,$0.70,12.26
2009-12-31,7.56,$0.75,10.1
