Watsco Price to Free Cash Flow Ratio Historical Data,Watsco Price to Free Cash Flow Ratio Historical Data,Watsco Price to Free Cash Flow Ratio Historical Data,Watsco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,492.3,,23.15
2024-06-30,442.45,$21.26,20.81
2024-03-31,424.03,$18.61,22.79
2023-12-31,414.5,$14.45,28.69
2023-09-30,355.3,$12.27,28.96
2023-06-30,353.52,$10.71,33.02
2023-03-31,303.18,$16.66,18.2
2022-12-31,240.59,$15.08,15.95
2022-09-30,259.5,$9.99,25.98
2022-06-30,228.39,$8.71,26.22
2022-03-31,288.77,$7.30,39.57
2021-12-31,283.43,$9.19,30.85
2021-09-30,246.47,$13.04,18.91
2021-06-30,266.07,$9.52,27.95
2021-03-31,231.03,$12.45,18.56
2020-12-31,209.09,$14.74,14.19
2020-09-30,207.41,$14.15,14.66
2020-06-30,157.3,$14.71,10.69
2020-03-31,136.22,$8.88,15.35
2019-12-31,156.81,$9.21,17.03
2019-09-30,141.34,$8.12,17.42
2019-06-30,139.98,$7.01,19.98
2019-03-31,120.9,$7.20,16.79
2018-12-31,112.06,$4.47,25.07
2018-09-30,145.66,$5.09,28.62
2018-06-30,144.05,$7.22,19.96
2018-03-31,145.75,$6.55,22.24
2017-12-31,135.66,$8.79,15.44
2017-09-30,127.56,$8.46,15.07
2017-06-30,119.99,$6.95,17.27
2017-03-31,112.34,$7.04,15.95
2016-12-31,115.83,$7.32,15.81
2016-09-30,110.44,$7.92,13.94
2016-06-30,107.42,$10.00,10.74
2016-03-31,99.59,$7.97,12.5
2015-12-31,90.04,$6.15,14.63
2015-09-30,89.59,$5.33,16.8
2015-06-30,94.92,$3.36,28.24
2015-03-31,92.97,$2.56,36.33
2014-12-31,79.28,$3.89,20.38
2014-09-30,64.25,$3.98,16.16
2014-06-30,74.68,$4.63,16.14
2014-03-31,72.48,$5.57,13.01
2013-12-31,70.01,$4.22,16.6
2013-09-30,68.28,$4.61,14.8
2013-06-30,59.43,$4.58,12.97
2013-03-31,60.05,$4.27,14.06
2012-12-31,53.28,$5.09,10.47
2012-09-30,51.15,$5.49,9.31
2012-06-30,46.67,$1.03,45.45
2012-03-31,48.24,$3.27,14.76
2011-12-31,43.31,$1.57,27.59
2011-09-30,33.66,$-0.45,0.0
2011-06-30,43.5,$1.44,30.14
2011-03-31,43.72,$3.45,12.66
2010-12-31,40.29,$4.79,8.41
2010-09-30,34.57,$4.81,7.19
2010-06-30,35.81,$4.24,8.45
2010-03-31,35.04,$2.72,12.9
2009-12-31,30.12,$3.86,7.81
