Glacier Bancorp Price to Free Cash Flow Ratio Historical Data,Glacier Bancorp Price to Free Cash Flow Ratio Historical Data,Glacier Bancorp Price to Free Cash Flow Ratio Historical Data,Glacier Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.14,,22.69
2024-06-30,36.72,$2.17,16.95
2024-03-31,39.29,$2.72,14.46
2023-12-31,40.31,$4.07,9.9
2023-09-30,27.25,$3.85,7.08
2023-06-30,29.48,$3.99,7.38
2023-03-31,39.41,$4.18,9.44
2022-12-31,46.36,$4.04,11.48
2022-09-30,45.52,$4.35,10.46
2022-06-30,43.63,$4.45,9.8
2022-03-31,45.94,$4.80,9.57
2021-12-31,51.72,$5.66,9.14
2021-09-30,49.93,$5.09,9.81
2021-06-30,49.39,$3.54,13.96
2021-03-31,50.92,$3.14,16.23
2020-12-31,40.92,$1.87,21.84
2020-09-30,28.07,$2.38,11.81
2020-06-30,30.64,$2.91,10.55
2020-03-31,29.28,$2.14,13.66
2019-12-31,39.42,$2.38,16.57
2019-09-30,34.2,$2.43,14.1
2019-06-30,34.05,$2.95,11.54
2019-03-31,33.44,$3.11,10.75
2018-12-31,32.82,$3.13,10.48
2018-09-30,35.28,$2.78,12.69
2018-06-30,31.46,$2.50,12.6
2018-03-31,31.03,$2.49,12.47
2017-12-31,31.85,$3.15,10.1
2017-09-30,30.37,$3.01,10.07
2017-06-30,28.85,$3.40,8.5
2017-03-31,26.57,$2.90,9.15
2016-12-31,28.14,$2.42,11.62
2016-09-30,21.87,$2.05,10.65
2016-06-30,20.23,$1.90,10.67
2016-03-31,19.19,$2.35,8.18
2015-12-31,19.78,$2.10,9.43
2015-09-30,19.41,$2.40,8.09
2015-06-30,21.49,$2.23,9.62
2015-03-31,18.24,$2.01,9.08
2014-12-31,19.91,$2.25,8.83
2014-09-30,18.3,$2.34,7.82
2014-06-30,19.96,$3.13,6.37
2014-03-31,20.33,$3.38,6.01
2013-12-31,20.84,$4.44,4.7
2013-09-30,17.07,$3.98,4.29
2013-06-30,15.25,$2.87,5.32
2013-03-31,12.94,$2.87,4.52
2012-12-31,10.03,$2.41,4.17
2012-09-30,10.44,$2.36,4.43
2012-06-30,10.27,$2.36,4.35
2012-03-31,9.83,$0.54,18.31
2011-12-31,7.84,$2.35,3.33
2011-09-30,6.03,$3.25,1.85
2011-06-30,8.59,$3.02,2.84
2011-03-31,9.51,$4.62,2.06
2010-12-31,9.46,$2.46,3.85
2010-09-30,9.06,$1.16,7.79
2010-06-30,9.03,$2.30,3.92
2010-03-31,9.3,$2.09,4.45
2009-12-31,8.38,$1.38,6.08
