PDF Solutions Price to Free Cash Flow Ratio Historical Data,PDF Solutions Price to Free Cash Flow Ratio Historical Data,PDF Solutions Price to Free Cash Flow Ratio Historical Data,PDF Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.93,,155.97
2024-06-30,36.38,$0.19,189.58
2024-03-31,33.67,$0.09,391.97
2023-12-31,32.14,$0.09,370.28
2023-09-30,32.4,$0.70,46.06
2023-06-30,45.1,$0.26,172.2
2023-03-31,42.4,$0.51,83.63
2022-12-31,28.52,$0.64,44.58
2022-09-30,24.53,$0.01,0.0
2022-06-30,21.51,$0.10,225.0
2022-03-31,27.87,$0.28,99.96
2021-12-31,31.79,$0.01,0.0
2021-09-30,23.04,$0.30,75.67
2021-06-30,18.18,$0.19,95.23
2021-03-31,17.78,$0.09,202.97
2020-12-31,21.6,$0.43,50.24
2020-09-30,18.71,$0.09,209.75
2020-06-30,19.56,$0.61,32.23
2020-03-31,11.72,$0.61,19.16
2019-12-31,16.89,$0.43,39.0
2019-09-30,13.07,$0.50,26.3
2019-06-30,13.12,$-0.12,0.0
2019-03-31,12.35,$-0.10,0.0
2018-12-31,8.43,$0.01,0.0
2018-09-30,9.03,$0.04,231.54
2018-06-30,11.98,$0.28,42.48
2018-03-31,11.66,$0.12,101.13
2017-12-31,15.7,$0.01,0.0
2017-09-30,15.49,$-0.09,0.0
2017-06-30,16.45,$-0.33,0.0
2017-03-31,22.62,$-0.44,0.0
2016-12-31,22.55,$-0.29,0.0
2016-09-30,18.17,$0.02,1088.02
2016-06-30,13.99,$0.28,50.22
2016-03-31,13.38,$0.42,32.16
2015-12-31,10.84,$0.79,13.65
2015-09-30,10.0,$0.58,17.39
2015-06-30,16.0,$0.71,22.59
2015-03-31,17.92,$0.88,20.33
2014-12-31,14.86,$0.78,18.99
2014-09-30,12.61,$0.88,14.4
2014-06-30,21.22,$0.80,26.47
2014-03-31,18.17,$1.04,17.51
2013-12-31,25.62,$0.66,38.79
2013-09-30,21.23,$0.89,23.98
2013-06-30,18.43,$0.63,29.19
2013-03-31,16.02,$0.44,36.26
2012-12-31,13.78,$0.42,33.07
2012-09-30,13.66,$0.16,85.43
2012-06-30,9.87,$0.31,32.27
2012-03-31,8.43,$0.20,41.43
2011-12-31,6.97,$0.27,25.38
2011-09-30,4.08,$0.33,12.36
2011-06-30,5.96,$0.23,25.91
2011-03-31,6.65,$0.11,58.9
2010-12-31,4.82,$0.17,28.67
2010-09-30,3.69,$-0.17,0.0
2010-03-31,4.36,$-0.18,0.0
2009-12-31,3.85,$-0.20,0.0
2009-09-30,3.49,$-0.36,0.0
