Comstock Resources Price to Free Cash Flow Ratio Historical Data,Comstock Resources Price to Free Cash Flow Ratio Historical Data,Comstock Resources Price to Free Cash Flow Ratio Historical Data,Comstock Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.61,,0.0
2024-06-30,10.38,$-2.53,0.0
2024-03-31,9.28,$-2.03,0.0
2023-12-31,8.85,$-1.33,0.0
2023-09-30,10.89,$-0.31,0.0
2023-06-30,11.34,$1.69,6.71
2023-03-31,10.41,$2.03,5.12
2022-12-31,13.09,$2.29,5.72
2022-09-30,16.4,$2.52,6.51
2022-06-30,11.46,$1.78,6.43
2022-03-31,12.38,$1.52,8.12
2021-12-31,7.67,$1.33,5.76
2021-09-30,9.81,$0.54,18.28
2021-06-30,6.33,$0.36,17.71
2021-03-31,5.25,$0.40,12.98
2020-12-31,4.14,$0.31,13.45
2020-09-30,4.15,$0.21,19.69
2020-06-30,4.15,$0.01,0.0
2020-03-31,5.11,$0.02,214.76
2019-12-31,7.8,$-0.19,0.0
2019-09-30,7.39,$-0.25,0.0
2019-06-30,5.28,$-6.68,0.0
2019-03-31,6.57,$1.34,4.89
2018-12-31,4.3,$-0.12,0.0
2018-09-30,7.95,$2.40,3.31
2018-06-30,9.97,$8.28,1.2
2018-03-31,6.93,$0.53,13.16
2017-12-31,8.02,$-0.30,0.0
2017-09-30,5.77,$0.37,15.64
2017-06-30,6.7,$-1.17,0.0
2017-03-31,8.75,$-2.54,0.0
2016-12-31,9.34,$-4.54,0.0
2016-09-30,7.25,$-10.34,0.0
2016-06-30,3.98,$74.08,0.05
2016-03-31,3.63,$6.36,0.57
2015-12-31,8.87,$4.31,2.06
2015-09-30,9.06,$5.15,1.76
2015-06-30,15.79,$-78.63,0.0
2014-12-31,32.29,$-25.12,0.0
2014-09-30,86.87,$-27.14,0.0
2014-06-30,133.83,$-33.98,0.0
2014-03-31,105.53,$-33.16,0.0
2013-12-31,83.93,$-24.44,0.0
2015-03-31,16.93,$-12.10,0.0
2013-09-30,72.46,$-10.65,0.0
2013-06-30,71.03,$5.91,12.02
2013-03-31,72.85,$6.74,10.8
2012-12-31,67.78,$2.06,32.89
2012-09-30,82.4,$-7.29,0.0
2012-06-30,73.61,$-28.98,0.0
2012-03-31,70.96,$-33.77,0.0
2011-12-31,68.59,$-40.85,0.0
2011-09-30,69.31,$-25.72,0.0
2011-06-30,129.06,$-30.63,0.0
2011-03-31,138.7,$-28.69,0.0
2010-12-31,110.1,$-17.48,0.0
2010-09-30,100.82,$-20.10,0.0
2010-06-30,124.27,$-12.21,0.0
2010-03-31,142.56,$-9.14,0.0
2009-12-31,181.87,$-19.17,0.0
