Patria Investments Price to Free Cash Flow Ratio Historical Data,Patria Investments Price to Free Cash Flow Ratio Historical Data,Patria Investments Price to Free Cash Flow Ratio Historical Data,Patria Investments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.48,,10.59
2024-03-31,14.84,$1.08,13.69
2023-12-31,15.51,$1.01,15.29
2023-09-30,14.58,$0.72,20.18
2023-06-30,14.3,$0.77,18.5
2023-03-31,14.8,$0.52,28.34
2022-12-31,13.93,$0.49,28.29
2022-09-30,13.05,$0.75,17.3
2022-06-30,13.06,$0.73,17.91
2022-03-31,17.38,$0.95,18.31
2021-12-31,15.65,$1.02,15.42
