Energy Recovery Price to Free Cash Flow Ratio Historical Data,Energy Recovery Price to Free Cash Flow Ratio Historical Data,Energy Recovery Price to Free Cash Flow Ratio Historical Data,Energy Recovery Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.01,,31.08
2024-06-30,13.29,$0.58,22.94
2024-03-31,15.79,$0.36,44.02
2023-12-31,18.84,$0.41,46.14
2023-09-30,21.21,$0.42,50.61
2023-06-30,27.95,$0.23,120.79
2023-03-31,23.05,$0.39,58.95
2022-12-31,20.49,$0.13,161.08
2022-03-31,20.14,$0.06,310.8
2021-12-31,21.49,$0.12,184.31
2021-09-30,19.03,$0.14,133.73
2021-06-30,22.78,$0.42,54.8
2021-03-31,18.34,$0.30,61.81
2020-12-31,13.64,$0.18,76.59
2020-09-30,8.2,$0.13,64.26
2020-06-30,7.6,$-0.04,0.0
2020-03-31,7.44,$-0.21,0.0
2019-12-31,9.79,$-0.18,0.0
2019-09-30,9.27,$-0.03,0.0
2019-06-30,10.42,$0.05,229.01
2018-12-31,6.73,$0.04,159.86
2018-09-30,8.95,$-0.01,0.0
2018-06-30,8.08,$0.03,323.2
2018-03-31,8.22,$-0.03,0.0
2017-12-31,8.75,$0.01,587.25
2022-09-30,21.74,$0.07,311.46
2017-09-30,7.9,$-0.12,0.0
2017-06-30,8.29,$-0.20,0.0
2017-03-31,8.32,$-0.03,0.0
2016-12-31,10.35,$0.08,133.72
2016-09-30,15.98,$0.03,583.21
2022-06-30,19.42,$1.56,12.44
2016-06-30,8.89,$1.48,6.01
2016-03-31,10.34,$1.44,7.18
2015-12-31,7.07,$1.31,5.38
2015-09-30,2.14,$-0.18,0.0
2015-06-30,2.74,$-0.26,0.0
2019-03-31,8.73,$-0.23,0.0
2015-03-31,2.59,$-0.03,0.0
2014-12-31,5.27,$-0.12,0.0
2014-09-30,3.54,$-0.06,0.0
2014-06-30,4.92,$0.06,76.52
2014-03-31,5.32,$0.01,0.0
2013-12-31,5.55,$0.04,133.73
2013-09-30,7.24,$-0.01,0.0
2013-06-30,4.13,$-0.14,0.0
2013-03-31,3.7,$-0.13,0.0
2012-12-31,3.4,$-0.14,0.0
2012-09-30,2.95,$-0.15,0.0
2012-06-30,2.4,$-0.13,0.0
2012-03-31,2.3,$-0.20,0.0
2011-12-31,2.58,$-0.18,0.0
2011-09-30,3.0,$-0.16,0.0
2011-06-30,3.27,$-0.11,0.0
2011-03-31,3.18,$-0.05,0.0
2010-12-31,3.66,$-0.15,0.0
2010-09-30,3.59,$-0.01,0.0
2010-06-30,4.0,$-0.17,0.0
2010-03-31,6.3,$-0.15,0.0
2009-12-31,6.88,$0.10,70.64
