Schrodinger Price to Free Cash Flow Ratio Historical Data,Schrodinger Price to Free Cash Flow Ratio Historical Data,Schrodinger Price to Free Cash Flow Ratio Historical Data,Schrodinger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.59,,0.0
2024-06-30,19.34,$-2.61,0.0
2024-03-31,27.0,$-2.13,0.0
2023-12-31,35.8,$-2.00,0.0
2023-09-30,28.27,$-1.91,0.0
2023-06-30,49.92,$-1.58,0.0
2023-03-31,26.33,$-1.68,0.0
2022-12-31,18.69,$-1.79,0.0
2022-09-30,24.98,$-1.72,0.0
2022-06-30,26.41,$-1.44,0.0
2022-03-31,34.12,$-1.52,0.0
2021-12-31,34.83,$-1.10,0.0
2021-09-30,54.68,$-0.18,0.0
2021-06-30,75.61,$-0.13,0.0
2021-03-31,76.29,$0.24,322.58
2020-12-31,79.18,$0.24,334.23
