Antero Resources Price to Free Cash Flow Ratio Historical Data,Antero Resources Price to Free Cash Flow Ratio Historical Data,Antero Resources Price to Free Cash Flow Ratio Historical Data,Antero Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.3,,0.0
2024-06-30,32.63,$-0.57,0.0
2024-03-31,29.0,$-0.56,0.0
2023-12-31,22.68,$-0.44,0.0
2023-09-30,25.38,$0.61,41.37
2023-06-30,23.03,$3.47,6.63
2023-03-31,23.09,$5.56,4.15
2022-12-31,30.99,$6.41,4.84
2022-09-30,30.53,$6.99,4.37
2022-06-30,30.65,$4.54,6.75
2022-03-31,30.53,$2.94,10.39
2021-12-31,17.5,$3.07,5.69
2021-09-30,18.81,$4.40,4.28
2021-06-30,15.03,$4.17,3.6
2021-03-31,10.2,$3.70,2.76
2020-12-31,5.45,$2.53,2.16
2020-09-30,2.75,$2.13,1.29
2020-06-30,2.54,$2.13,1.19
2020-03-31,0.71,$-0.58,0.0
2019-12-31,2.85,$0.82,3.47
2019-09-30,3.02,$1.12,2.69
2019-06-30,5.53,$0.90,6.14
2018-12-31,9.39,$4.30,2.18
2018-09-30,17.71,$4.22,4.19
2018-06-30,21.35,$4.92,4.34
2018-03-31,19.85,$7.18,2.76
2017-12-31,19.0,$5.73,3.31
2019-03-31,8.83,$4.33,2.04
2017-09-30,19.9,$3.79,5.25
2017-06-30,21.61,$-0.13,0.0
2017-03-31,22.81,$0.60,37.78
2016-12-31,23.65,$0.83,28.42
2016-09-30,26.95,$0.03,863.78
2016-06-30,25.98,$1.57,16.59
2016-03-31,24.87,$1.41,17.66
2015-12-31,21.8,$1.31,16.64
2015-09-30,21.16,$0.03,609.8
2015-06-30,34.34,$-0.94,0.0
2015-03-31,35.32,$-1.77,0.0
2014-12-31,40.58,$-2.33,0.0
2014-09-30,54.89,$-3.11,0.0
