Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,90.34,,0.0
2024-03-31,90.04,$-6.50,0.0
2023-12-31,89.34,$3.44,25.96
2023-09-30,83.25,$4.88,17.06
2023-06-30,87.19,$6.44,13.54
2023-03-31,91.5,$7.44,12.3
2022-12-31,90.35,$-1.60,0.0
2022-09-30,80.59,$-1.99,0.0
2022-06-30,88.67,$-0.74,0.0
2022-03-31,87.55,$-1.59,0.0
2021-12-31,78.14,$-2.62,0.0
2021-09-30,65.82,$-3.77,0.0
2021-06-30,64.39,$-6.06,0.0
2021-03-31,66.49,$-6.72,0.0
2020-12-31,63.54,$-6.02,0.0
2020-09-30,67.74,$-3.83,0.0
2020-06-30,61.99,$-2.82,0.0
2020-03-31,66.51,$-1.82,0.0
2019-12-31,76.52,$-1.38,0.0
2019-09-30,79.22,$-1.76,0.0
2019-06-30,72.91,$-1.63,0.0
2019-03-31,69.91,$-2.20,0.0
2018-12-31,62.44,$-3.38,0.0
2018-09-30,61.66,$-3.74,0.0
2018-06-30,62.54,$-2.94,0.0
2018-03-31,61.92,$-1.96,0.0
2017-12-31,66.87,$-0.94,0.0
2017-09-30,63.02,$-1.56,0.0
2017-06-30,62.6,$-0.65,0.0
2017-03-31,59.64,$-0.82,0.0
2016-12-31,56.06,$-0.58,0.0
2016-09-30,56.75,$0.38,150.25
2016-06-30,60.09,$-0.55,0.0
2016-03-31,56.73,$-0.83,0.0
2015-12-31,47.14,$0.01,3465.9
2015-09-30,48.53,$1.28,38.03
2015-06-30,41.61,$1.23,33.89
2015-03-31,43.39,$2.05,21.16
2014-12-31,46.48,$1.03,44.95
2014-09-30,39.51,$1.09,36.24
2014-06-30,39.81,$0.82,48.81
2014-03-31,36.57,$0.59,61.47
2013-12-31,37.25,$-0.69,0.0
2013-09-30,36.76,$-1.37,0.0
2013-06-30,38.47,$-0.70,0.0
2013-03-31,39.86,$-0.97,0.0
2012-12-31,35.88,$1.21,29.77
2012-09-30,38.28,$1.46,26.31
2012-06-30,39.37,$1.99,19.79
2012-03-31,36.61,$3.32,11.04
2011-12-31,38.47,$3.41,11.29
2011-09-30,35.0,$4.79,7.3
2011-06-30,32.33,$3.26,9.91
2011-03-31,30.46,$2.08,14.62
2010-12-31,29.41,$0.76,38.57
2010-09-30,28.27,$-1.02,0.0
2010-06-30,24.95,$-1.55,0.0
2010-03-31,25.44,$-1.68,0.0
2009-12-31,25.59,$0.38,66.71
