Genuine Parts Price to Free Cash Flow Ratio Historical Data,Genuine Parts Price to Free Cash Flow Ratio Historical Data,Genuine Parts Price to Free Cash Flow Ratio Historical Data,Genuine Parts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,141.43,,17.97
2024-03-31,154.93,$7.87,19.68
2023-12-31,137.58,$6.72,20.47
2023-09-30,142.4,$6.16,23.13
2023-06-30,165.87,$5.28,31.4
2023-03-31,162.95,$7.44,21.9
2022-12-31,168.05,$8.94,18.8
2022-09-30,143.93,$8.87,16.22
2022-06-30,127.47,$8.15,15.65
2022-03-31,119.99,$-3.60,0.0
2021-12-31,132.54,$-2.13,0.0
2021-09-30,113.89,$0.31,363.75
2021-06-30,118.03,$4.44,26.56
2020-12-31,92.44,$12.95,7.14
2020-09-30,86.89,$11.29,7.69
2020-06-30,78.75,$9.87,7.98
2020-03-31,60.45,$6.35,9.52
2019-12-31,94.5,$7.33,12.9
2021-03-31,107.2,$5.36,20.02
2019-09-30,87.94,$3.58,24.54
2019-06-30,90.72,$4.14,21.9
2019-03-31,97.39,$5.14,18.95
2018-12-31,82.88,$5.74,14.45
2018-09-30,85.19,$7.23,11.78
2018-06-30,78.11,$5.28,14.8
2018-03-31,75.87,$4.81,15.78
2017-12-31,79.61,$4.60,17.3
2017-09-30,79.57,$4.09,19.47
2017-06-30,76.55,$4.20,18.21
2017-03-31,75.71,$5.13,14.75
2016-12-31,77.71,$5.44,14.3
2016-09-30,81.17,$5.83,13.92
2016-06-30,81.28,$7.42,10.95
2016-03-31,79.22,$7.07,11.2
2015-12-31,68.0,$6.94,9.8
2015-09-30,65.18,$6.61,9.85
2015-06-30,69.87,$5.08,13.74
2015-03-31,72.24,$4.90,14.74
2014-12-31,82.07,$4.48,18.33
2014-09-30,67.18,$4.56,14.72
2014-06-30,66.81,$5.51,12.13
2014-03-31,65.64,$5.66,11.59
2013-12-31,62.47,$6.06,10.31
2013-09-30,60.34,$5.60,10.78
2013-06-30,57.83,$5.50,10.51
2013-03-31,57.37,$4.87,11.78
2012-12-31,46.42,$5.20,8.93
2012-09-30,44.22,$5.05,8.76
2012-06-30,43.3,$4.41,9.82
2012-03-31,44.74,$4.11,10.89
2011-12-31,43.29,$3.36,12.87
2011-09-30,35.66,$3.30,10.8
2011-06-30,37.87,$3.04,12.47
2011-03-31,37.01,$3.20,11.58
2010-12-31,35.13,$3.77,9.32
2010-09-30,30.26,$3.67,8.24
2010-06-30,26.52,$3.69,7.18
2010-03-31,28.1,$4.13,6.81
2009-12-31,25.0,$4.48,5.58
