Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data,Las Vegas Sands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,45.91,,14.25
2024-03-31,51.48,$3.22,15.97
2023-12-31,48.81,$2.89,16.87
2023-09-30,45.28,$1.67,27.09
2023-06-30,57.1,$0.59,97.14
2023-03-31,56.56,$-0.89,0.0
2022-12-31,47.32,$-2.08,0.0
2022-09-30,36.94,$-1.86,0.0
2022-06-30,33.07,$-2.01,0.0
2022-03-31,38.27,$-1.60,0.0
2021-12-31,37.06,$-1.39,0.0
2021-09-30,36.03,$-1.52,0.0
2021-06-30,51.87,$-1.79,0.0
2021-03-31,59.82,$-2.90,0.0
2020-12-31,58.68,$-3.16,0.0
2020-09-30,45.94,$-1.96,0.0
2020-06-30,44.83,$-0.34,0.0
2020-03-31,41.81,$0.69,60.84
2019-12-31,66.68,$2.32,28.72
2019-09-30,55.16,$2.61,21.16
2019-06-30,55.71,$2.72,20.5
2019-03-31,56.73,$4.07,13.93
2018-12-31,47.82,$4.80,9.97
2018-09-30,53.74,$4.92,10.92
2018-06-30,68.32,$5.17,13.22
2018-03-31,63.73,$5.21,12.22
2017-12-31,60.97,$4.70,12.98
2017-09-30,55.72,$4.48,12.44
2017-06-30,54.85,$4.15,13.2
2017-03-31,48.45,$3.72,13.04
2016-12-31,44.76,$3.33,13.42
2016-09-30,47.59,$2.93,16.22
2016-06-30,35.52,$2.71,13.13
2016-03-31,41.53,$2.54,16.37
2015-12-31,34.76,$2.42,14.36
2015-09-30,29.65,$2.68,11.06
2015-06-30,40.46,$3.30,12.26
2015-03-31,41.86,$3.91,10.72
2014-12-31,43.73,$4.52,9.66
2014-09-30,46.34,$4.74,9.78
2014-06-30,56.33,$4.66,12.09
2014-03-31,59.31,$4.57,12.98
2013-12-31,57.55,$4.32,13.31
2013-09-30,48.25,$3.71,13.02
2013-06-30,38.24,$3.10,12.35
2013-03-31,40.47,$2.46,16.47
2012-12-31,32.93,$1.95,16.85
2012-09-30,30.96,$1.73,17.86
2012-06-30,28.88,$1.81,15.98
2012-03-31,38.02,$1.65,23.06
2011-12-31,28.1,$1.43,19.66
2011-09-30,25.21,$1.46,17.22
2011-06-30,27.75,$1.05,26.4
2011-03-31,27.76,$0.36,76.79
2010-12-31,30.21,$-0.13,0.0
2010-09-30,22.92,$-1.24,0.0
2010-06-30,14.56,$-1.86,0.0
2010-03-31,13.91,$-2.01,0.0
2009-12-31,9.82,$-2.21,0.0
