General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,298.25,,0.0
2024-03-31,281.1,$-0.23,0.0
2023-12-31,257.04,$1.90,135.3
2023-09-30,217.41,$2.50,87.07
2023-06-30,210.39,$0.09,2348.07
2022-12-31,239.92,$12.46,19.26
2022-09-30,204.02,$16.46,12.39
2022-06-30,212.75,$10.07,21.13
2022-03-31,229.41,$16.18,14.18
2021-12-31,197.19,$12.80,15.41
2021-09-30,184.33,$10.38,17.76
2020-12-31,137.19,$10.04,13.66
2020-09-30,126.65,$6.33,20.02
2020-06-30,135.73,$6.12,22.17
2020-03-31,119.2,$6.90,17.28
2019-12-31,157.99,$10.21,15.47
2021-06-30,175.91,$2.88,61.14
2019-09-30,162.77,$6.03,26.99
2019-06-30,161.06,$5.20,30.98
2019-03-31,149.06,$6.85,21.75
2018-12-31,137.66,$8.22,16.75
2018-09-30,178.46,$8.14,21.92
2018-06-30,161.7,$8.55,18.91
2018-03-31,190.8,$7.79,24.48
2017-12-31,175.02,$11.32,15.46
2017-09-30,176.16,$7.36,23.93
2017-06-30,169.04,$6.13,27.58
2017-03-31,159.02,$5.91,26.89
2016-12-31,146.04,$5.71,25.6
2016-09-30,130.59,$3.95,33.08
2016-06-30,117.2,$4.87,24.06
2016-03-31,109.32,$5.63,19.42
2015-12-31,113.7,$6.24,18.22
2015-09-30,113.63,$5.39,21.09
2015-06-30,116.71,$8.74,13.36
2015-03-31,110.7,$11.62,9.52
2014-12-31,111.73,$12.03,9.29
2014-09-30,102.67,$13.54,7.58
2023-03-31,221.88,$11.93,18.6
2014-06-30,93.65,$8.26,11.34
2014-03-31,87.02,$8.99,9.68
2013-12-31,75.9,$7.57,10.03
2013-09-30,69.06,$4.86,14.22
2013-06-30,61.37,$5.37,11.42
2021-03-31,168.56,$3.99,42.24
2013-03-31,54.8,$6.45,8.49
2012-12-31,53.84,$6.14,8.77
2012-09-30,50.61,$9.56,5.29
2012-06-30,50.1,$7.97,6.28
2012-03-31,55.33,$7.76,7.13
2011-12-31,49.75,$7.56,6.58
2011-09-30,42.28,$5.87,7.21
2011-06-30,55.38,$7.83,7.07
2011-03-31,56.18,$7.11,7.9
2010-12-31,51.76,$6.79,7.62
2010-09-30,45.52,$7.04,6.46
2010-06-30,42.44,$6.29,6.75
2010-03-31,55.25,$6.56,8.42
2009-12-31,48.52,$6.37,7.62
