AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,170.39,,13.8
2024-03-31,180.38,$12.35,14.6
2023-12-31,152.05,$12.44,12.22
2023-09-30,144.81,$13.94,10.39
2023-06-30,129.45,$13.96,9.27
2023-03-31,151.75,$13.23,11.47
2022-12-31,152.4,$13.64,11.17
2022-09-30,125.32,$12.34,10.15
2022-06-30,141.69,$12.50,11.33
2022-03-31,148.65,$12.40,11.99
2021-12-31,122.86,$12.37,9.93
2021-09-30,96.73,$12.77,7.57
2021-06-30,99.9,$11.31,8.83
2021-03-31,94.81,$10.19,9.3
2020-12-31,92.8,$10.04,9.25
2020-09-30,74.83,$8.98,8.33
2020-06-30,82.89,$9.07,9.14
2020-03-31,63.41,$9.13,6.94
2019-12-31,72.72,$8.61,8.45
2019-09-30,61.3,$8.50,7.21
2019-06-30,57.99,$8.46,6.86
2019-03-31,63.42,$8.65,7.33
2018-12-31,71.65,$8.27,8.66
2018-09-30,72.73,$7.78,9.35
2018-06-30,70.54,$6.81,10.35
2018-03-31,71.32,$6.21,11.48
2017-12-31,72.36,$5.88,12.3
2017-09-30,66.02,$5.28,12.51
2017-06-30,53.4,$4.13,12.94
2017-03-31,47.51,$1.00,47.63
2016-12-31,45.19,$0.91,49.8
2016-09-30,45.09,$1.20,37.64
2016-06-30,43.88,$1.43,30.7
2015-12-31,41.12,$4.28,9.61
2015-09-30,37.42,$3.71,10.1
2015-06-30,45.87,$3.76,12.21
2015-03-31,39.63,$3.72,10.67
2014-12-31,43.96,$3.80,11.57
2016-03-31,40.09,$3.51,11.41
2014-09-30,38.51,$2.96,13.0
2014-06-30,37.35,$3.01,12.41
2014-03-31,33.71,$3.22,10.47
2013-12-31,34.35,$3.60,9.54
