Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,67.84,,14.33
2024-03-31,78.55,$4.73,16.59
2023-12-31,66.44,$5.18,12.83
2023-09-30,53.02,$4.27,12.41
2023-06-30,56.64,$3.60,15.72
2023-03-31,48.8,$3.59,13.61
2022-12-31,45.56,$2.66,17.16
2022-09-30,45.3,$2.81,16.15
2022-06-30,48.85,$2.90,16.82
2022-03-31,48.99,$2.60,18.81
2021-12-31,67.12,$3.20,21.0
2021-09-30,52.9,$3.34,15.84
2021-06-30,55.89,$2.99,18.7
2021-03-31,56.61,$3.14,18.02
2020-12-31,51.78,$3.18,16.27
2020-09-30,51.84,$2.59,19.99
2020-06-30,47.09,$2.84,16.59
2020-03-31,32.31,$2.58,12.51
2019-12-31,44.73,$2.45,18.27
2019-09-30,38.72,$2.84,13.62
2019-06-30,36.34,$2.62,13.89
2019-03-31,36.3,$2.44,14.9
2018-12-31,26.9,$2.69,9.99
2018-09-30,33.55,$2.38,14.11
2018-06-30,34.21,$2.25,15.22
2018-03-31,36.87,$2.15,17.12
2017-12-31,39.97,$1.89,21.11
2017-09-30,35.39,$1.87,18.9
2017-06-30,34.58,$1.77,19.5
2017-03-31,30.66,$1.61,19.09
2016-12-31,28.44,$1.85,15.41
2016-09-30,30.77,$2.12,14.5
2016-06-30,27.66,$2.09,13.25
2016-03-31,28.03,$2.17,12.95
2015-12-31,25.14,$1.96,12.79
2015-09-30,22.29,$1.68,13.24
2015-06-30,20.8,$1.57,13.29
2015-03-31,20.75,$1.62,12.79
2014-12-31,19.52,$1.40,13.98
2014-09-30,18.45,$1.41,13.11
2014-06-30,17.13,$1.57,10.88
2014-03-31,17.01,$1.47,11.55
2013-12-31,17.38,$1.55,11.21
2013-09-30,16.18,$1.37,11.82
2013-06-30,14.76,$0.77,19.23
2013-03-31,15.28,$0.51,30.04
2012-12-31,12.52,$0.66,19.07
2012-09-30,11.25,$0.40,28.2
2012-06-30,10.31,$0.48,21.38
2012-03-31,9.88,$0.33,29.52
2011-12-31,7.69,$0.32,23.91
2011-09-30,5.18,$0.54,9.51
2011-06-30,8.69,$0.71,12.28
2011-03-31,10.0,$0.86,11.58
2010-12-31,9.05,$0.99,9.13
2010-09-30,7.82,$1.15,6.81
2010-06-30,7.59,$1.55,4.89
2010-03-31,10.9,$1.52,7.15
2009-12-31,9.65,$1.72,5.62
