Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,308.98,,22.42
2024-02-29,373.3,$13.78,27.09
2023-11-30,330.61,$14.14,23.38
2023-08-31,319.99,$14.09,22.71
2023-05-31,301.28,$14.63,20.6
2023-02-28,260.49,$14.20,18.35
2022-11-30,294.03,$13.80,21.3
2022-08-31,280.59,$13.73,20.44
2022-05-31,289.28,$11.53,25.09
2022-02-28,305.39,$10.52,29.04
2021-11-30,344.5,$11.20,30.75
2021-08-31,323.46,$13.00,24.89
2021-05-31,270.42,$14.15,19.11
2021-02-28,239.72,$14.70,16.31
2020-11-30,237.18,$13.03,18.21
2020-08-31,227.58,$11.76,19.36
2020-05-31,190.55,$10.08,18.91
2020-02-29,169.87,$9.10,18.67
2019-11-30,188.49,$8.88,21.23
2019-08-31,184.9,$9.27,19.94
2019-05-31,166.14,$9.34,17.8
2019-02-28,149.34,$9.06,16.49
2018-11-30,152.25,$8.38,18.17
2018-08-31,155.03,$8.25,18.79
2018-05-31,142.81,$7.94,17.99
2018-02-28,146.33,$7.69,19.04
2017-11-30,134.51,$6.57,20.47
2017-08-31,117.7,$6.75,17.44
2017-05-31,112.04,$6.97,16.07
2017-02-28,109.13,$6.70,16.28
2016-11-30,106.39,$6.94,15.33
2016-08-31,101.39,$6.25,16.22
2016-05-31,104.89,$5.53,18.99
2016-02-29,87.56,$5.19,16.87
2015-11-30,93.64,$5.19,18.03
2015-08-31,81.45,$5.58,14.6
2015-05-31,82.98,$5.69,14.58
2015-02-28,76.97,$5.62,13.69
2014-11-30,73.8,$5.61,13.16
2014-08-31,68.38,$4.58,14.94
2014-05-31,68.71,$4.00,17.16
2014-02-28,69.49,$4.14,16.8
2013-11-30,64.58,$4.58,14.09
2013-08-31,59.45,$4.14,14.37
2013-05-31,67.56,$4.68,14.43
2013-02-28,60.54,$4.24,14.29
2012-11-30,55.3,$4.54,12.19
2012-08-31,49.58,$5.35,9.27
2012-05-31,45.96,$4.83,9.51
2012-02-29,47.42,$4.95,9.58
2011-11-30,46.13,$4.60,10.04
2011-08-31,42.18,$4.10,10.3
2011-05-31,45.17,$3.91,11.56
2011-02-28,40.2,$3.43,11.72
2010-11-30,33.83,$3.53,9.59
2010-08-31,28.3,$3.73,7.6
2010-05-31,29.01,$3.45,8.4
2010-02-28,30.64,$3.52,8.71
2009-11-30,31.46,$3.95,7.96
