Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,134.29,,28.48
2024-03-31,137.98,$4.72,29.26
2023-12-31,129.38,$4.62,27.98
2023-09-30,123.13,$4.54,27.1
2023-06-30,135.91,$4.44,30.63
2023-03-31,128.96,$4.25,30.36
2022-12-31,124.48,$3.96,31.45
2022-09-30,102.89,$3.89,26.43
2022-06-30,109.27,$4.09,26.74
2022-03-31,113.55,$4.69,24.21
2021-12-31,132.41,$4.89,27.09
2021-09-30,116.18,$5.09,22.8
2021-06-30,108.85,$5.04,21.62
2021-03-31,101.94,$3.98,25.59
2020-12-31,101.82,$3.73,27.3
2020-09-30,85.25,$3.56,23.96
2020-06-30,80.76,$3.31,24.4
2020-03-31,63.35,$3.42,18.5
2019-12-31,92.71,$3.58,25.93
2019-09-30,103.95,$3.34,31.13
2019-06-30,101.05,$2.08,48.5
2019-03-31,90.76,$2.29,39.67
2018-12-31,83.21,$2.06,40.47
2018-09-30,81.96,$1.41,57.94
2017-12-31,72.61,$2.01,36.2
2017-09-30,65.24,$1.95,33.41
2017-06-30,65.11,$2.04,31.98
2017-03-31,56.15,$2.23,25.14
2016-12-31,55.39,$2.20,25.23
2016-09-30,56.64,$0.85,66.85
2016-06-30,51.44,$1.61,31.96
2016-03-31,50.5,$1.76,28.7
2015-12-31,44.77,$1.86,24.03
2015-09-30,48.67,$2.14,22.78
2015-06-30,54.59,$1.34,40.67
2015-03-31,47.45,$1.38,34.31
2014-12-31,43.67,$1.61,27.16
2014-09-30,42.88,$2.64,16.22
2014-06-30,48.16,$3.31,14.54
2014-03-31,44.5,$2.90,15.35
2013-12-31,44.41,$2.38,18.66
2013-09-30,41.7,$1.96,21.24
2013-06-30,40.31,$1.99,20.21
2013-03-31,41.62,$2.45,17.01
2012-12-31,38.21,$2.53,15.13
2012-09-30,38.0,$2.58,14.72
2012-06-30,36.73,$2.42,15.19
2018-03-31,76.09,$2.30,33.08
2011-12-31,33.35,$2.56,13.04
2011-09-30,27.76,$4.17,6.65
2011-06-30,30.91,$3.64,8.5
2011-03-31,28.61,$4.15,6.89
2010-12-31,27.17,$4.04,6.72
2012-03-31,40.42,$2.75,14.69
2010-09-30,25.38,$2.12,11.98
2010-06-30,21.41,$2.06,10.37
2010-03-31,20.91,$1.49,13.99
2009-12-31,18.97,$1.33,14.29
2009-09-30,18.2,$2.23,8.18
