Mosaic Price to Free Cash Flow Ratio Historical Data,Mosaic Price to Free Cash Flow Ratio Historical Data,Mosaic Price to Free Cash Flow Ratio Historical Data,Mosaic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,29.11,,11.33
2024-03-31,32.46,$2.57,12.63
2023-12-31,35.49,$3.49,10.17
2023-09-30,35.16,$4.08,8.62
2023-06-30,34.39,$5.08,6.77
2023-03-31,44.8,$6.46,6.94
2022-12-31,42.45,$7.55,5.62
2022-09-30,46.63,$6.15,7.58
2022-06-30,45.44,$4.64,9.8
2022-03-31,63.82,$1.86,34.38
2021-12-31,37.63,$0.88,42.7
2021-09-30,34.13,$0.90,37.86
2021-06-30,30.42,$2.15,14.18
2020-12-31,21.86,$1.08,20.23
2020-09-30,17.31,$1.32,13.15
2020-06-30,11.82,$1.68,7.05
2020-03-31,10.19,$0.62,16.47
2019-12-31,20.32,$-0.45,0.0
2019-09-30,19.2,$-0.64,0.0
2019-06-30,23.38,$0.27,86.19
2019-03-31,25.45,$-0.05,0.0
2018-12-31,27.2,$2.78,9.78
2018-09-30,30.22,$2.36,12.79
2021-03-31,30.08,$2.06,14.6
2018-06-30,26.07,$2.00,13.03
2018-03-31,22.55,$0.64,35.15
2017-12-31,23.81,$1.19,20.08
2017-09-30,20.01,$0.33,60.01
2017-06-30,21.0,$0.00,0.0
2017-03-31,26.67,$0.88,30.28
2016-12-31,26.57,$1.19,22.36
2016-09-30,21.94,$1.46,15.0
2016-06-30,23.26,$1.67,13.97
2016-03-31,23.73,$1.62,14.6
2015-12-31,24.0,$2.90,8.29
2015-09-30,26.83,$2.54,10.55
2015-06-30,40.12,$3.10,12.94
2015-03-31,39.21,$3.61,10.87
2014-12-31,38.68,$3.18,12.18
2014-09-30,37.42,$2.17,17.27
2014-06-30,41.45,$2.75,15.05
2014-03-31,41.69,$0.70,59.4
2013-12-31,39.22,$0.27,145.09
2013-09-30,35.5,$0.55,64.5
2013-05-31,49.9,$-0.81,0.0
2013-03-31,48.71,$-0.16,0.0
2013-02-28,47.84,$-0.91,0.0
2012-11-30,44.0,$-1.09,0.0
2012-09-30,46.66,$-0.10,0.0
2012-08-31,46.91,$0.04,1202.75
2012-05-31,38.46,$0.66,58.27
2012-02-29,46.47,$0.09,529.85
2011-11-30,42.41,$0.66,64.26
2011-08-31,57.13,$0.90,63.39
2011-05-31,56.87,$1.12,50.65
2011-02-28,68.86,$1.94,35.42
2010-11-30,54.21,$1.12,48.29
2010-08-31,46.99,$0.55,85.47
2010-05-31,36.95,$-0.18,0.0
2010-02-28,46.68,$-0.50,0.0
2009-11-30,43.49,$-0.18,0.0
2009-08-31,37.7,$1.78,21.22
