Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,184.4,,15.32
2024-03-31,177.19,$12.04,14.72
2023-12-31,153.33,$8.17,18.78
2023-09-30,138.58,$6.90,20.07
2023-06-30,146.16,$5.88,24.85
2023-03-31,149.85,$5.65,26.53
2022-12-31,133.1,$4.11,32.35
2022-09-30,114.18,$4.05,28.22
2022-06-30,118.35,$4.73,25.02
2022-03-31,152.49,$5.34,28.55
2021-12-31,175.94,$6.55,26.86
2021-09-30,150.22,$7.23,20.78
2021-06-30,145.07,$7.19,20.18
2021-03-31,131.66,$7.30,18.03
2020-12-31,120.74,$6.51,18.55
2020-09-30,103.2,$6.04,17.08
2020-06-30,91.57,$6.08,15.07
2020-03-31,79.2,$5.53,14.33
2019-12-31,108.25,$5.19,20.86
2019-09-30,93.1,$5.23,17.81
2019-06-30,93.2,$4.56,20.43
2019-03-31,86.79,$4.19,20.71
2018-12-31,65.3,$4.10,15.92
2018-09-30,81.48,$3.52,23.12
2018-06-30,66.99,$3.44,19.49
2018-03-31,71.84,$3.28,21.93
2017-12-31,73.53,$3.68,19.96
2017-09-30,66.22,$3.01,22.01
2017-06-30,57.8,$2.91,19.83
2017-03-31,57.58,$3.51,16.4
2016-12-31,53.41,$3.90,13.71
2016-09-30,52.16,$4.68,11.16
2016-06-30,48.81,$5.05,9.66
2016-03-31,45.01,$5.04,8.94
2015-12-31,42.61,$5.09,8.38
2015-09-30,39.48,$5.70,6.92
2015-06-30,48.12,$5.68,8.46
2015-03-31,47.15,$5.42,8.7
2014-12-31,48.66,$4.73,10.29
2014-09-30,54.23,$4.49,12.07
2014-06-30,61.13,$4.31,14.18
2014-03-31,54.71,$4.75,11.52
2013-12-31,53.57,$4.97,10.79
2013-09-30,49.64,$4.73,10.5
2013-06-30,42.73,$4.55,9.39
2013-03-31,39.92,$4.21,9.49
2012-12-31,35.82,$4.52,7.93
2012-09-30,32.25,$3.61,8.93
2012-06-30,28.89,$4.06,7.12
2012-03-31,33.73,$3.83,8.81
2011-12-31,30.96,$3.68,8.41
2011-09-30,24.71,$4.39,5.63
2011-06-30,35.75,$3.37,10.62
2011-03-31,34.51,$0.45,76.32
2010-12-31,30.55,$0.98,31.07
2010-09-30,27.16,$0.56,48.84
2010-06-30,21.61,$0.82,26.49
2009-12-31,21.26,$3.49,6.09
2009-09-30,19.68,$2.87,6.86
