Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,59.99,,0.0
2024-03-31,62.7,$-30.84,0.0
2023-12-31,50.52,$-40.87,0.0
2023-09-30,39.89,$-32.18,0.0
2023-06-30,44.14,$-40.63,0.0
2023-03-31,44.48,$-1.16,0.0
2022-12-31,42.48,$9.93,4.28
2022-09-30,38.7,$-2.42,0.0
2022-06-30,42.29,$16.57,2.55
2022-03-31,48.59,$5.13,9.48
2021-12-31,54.53,$21.06,2.59
2021-09-30,62.91,$26.80,2.35
2021-06-30,62.94,$7.56,8.33
2021-03-31,64.26,$10.16,6.32
2020-12-31,53.99,$-12.81,0.0
2020-09-30,37.29,$-1.96,0.0
2020-06-30,43.76,$0.12,361.32
2020-03-31,35.67,$-4.00,0.0
2019-12-31,67.19,$-7.96,0.0
2019-09-30,57.7,$-15.43,0.0
2019-06-30,58.05,$-7.21,0.0
2019-03-31,51.58,$-5.25,0.0
2018-12-31,42.85,$13.39,3.2
2018-09-30,58.65,$8.86,6.62
2018-06-30,54.38,$6.73,8.08
2018-03-31,54.59,$-0.64,0.0
2017-12-31,59.93,$-4.36,0.0
2017-09-30,58.33,$6.50,8.98
2017-06-30,53.38,$2.58,20.67
2017-03-31,47.62,$16.89,2.82
2016-12-31,47.17,$17.88,2.64
2016-09-30,37.37,$8.48,4.41
2016-06-30,33.42,$13.54,2.47
2016-03-31,32.88,$11.51,2.86
2015-12-31,40.7,$12.34,3.3
2015-09-30,38.98,$16.28,2.39
2015-06-30,43.37,$12.14,3.57
2015-03-31,40.41,$-5.04,0.0
2014-12-31,42.43,$-4.53,0.0
2014-09-30,40.63,$-3.20,0.0
2014-06-30,36.92,$-0.13,0.0
2013-12-31,40.83,$19.88,2.05
2013-09-30,38.0,$5.14,7.4
2013-06-30,37.57,$10.14,3.71
2013-03-31,34.64,$5.04,6.87
2012-12-31,30.97,$-5.00,0.0
2014-03-31,37.3,$11.65,3.2
2012-09-30,25.61,$13.26,1.93
2012-06-30,21.44,$20.43,1.05
2012-03-31,28.59,$23.55,1.21
2011-12-31,20.57,$20.90,0.98
2011-09-30,20.02,$13.49,1.48
2011-06-30,32.54,$-0.73,0.0
2011-03-31,34.53,$0.17,200.64
2010-12-31,36.95,$12.11,3.05
2010-09-30,30.55,$-26.16,0.0
2010-06-30,29.37,$-0.46,0.0
2010-03-31,31.64,$-16.78,0.0
2009-12-31,25.86,$-41.80,0.0
