Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,454.85,,40.4
2024-03-31,480.91,$11.26,42.71
2023-12-31,425.26,$11.51,36.93
2023-09-30,394.18,$10.28,38.36
2023-06-30,391.01,$10.79,36.24
2023-03-31,360.73,$10.52,34.28
2022-12-31,344.63,$10.40,33.14
2022-09-30,281.35,$10.55,26.66
2022-06-30,311.69,$9.16,34.02
2022-03-31,352.59,$8.91,39.55
2021-12-31,354.03,$8.72,40.61
2021-09-30,342.14,$7.83,43.69
2021-06-30,358.85,$6.99,51.34
2021-03-31,349.55,$6.17,56.7
2020-12-31,349.99,$6.48,54.03
2020-09-30,331.2,$7.11,46.56
2020-06-30,289.22,$7.73,37.4
2020-03-31,235.92,$7.79,30.27
2019-12-31,291.23,$7.29,39.93
2019-09-30,264.55,$5.71,46.32
2019-06-30,257.38,$3.04,84.78
2019-03-31,228.77,$3.28,69.72
2018-12-31,183.3,$3.71,49.41
2018-09-30,216.04,$3.74,57.78
2017-12-31,146.26,$4.89,29.92
2017-09-30,136.24,$4.21,32.36
2017-06-30,116.97,$3.86,30.33
2017-03-31,108.11,$3.57,30.32
2016-12-31,99.04,$3.86,25.63
2016-09-30,97.44,$3.84,25.35
2016-06-30,84.13,$3.67,22.9
2016-03-31,90.1,$3.45,26.13
2015-12-31,92.64,$3.31,28.02
2015-09-30,85.61,$2.90,29.56
2015-06-30,88.65,$3.00,29.56
2015-03-31,81.78,$2.93,27.88
2014-12-31,81.4,$2.63,30.97
2014-09-30,69.73,$3.02,23.1
2014-06-30,69.21,$2.94,23.56
2014-03-31,70.26,$2.92,24.07
2013-12-31,78.57,$3.16,24.89
2013-09-30,63.21,$2.31,27.42
2013-06-30,53.93,$1.88,28.73
2013-03-31,50.74,$2.08,24.37
2012-12-31,46.04,$1.87,24.57
2018-06-30,190.48,$2.17,87.91
2012-09-30,42.28,$2.08,20.31
2012-06-30,40.25,$1.86,21.7
2012-03-31,39.33,$2.25,17.49
2011-12-31,34.85,$2.34,14.88
2011-09-30,29.63,$2.05,14.48
2018-03-31,169.53,$1.98,85.71
2011-06-30,28.14,$1.54,18.31
2011-03-31,23.49,$1.37,17.09
2010-12-31,20.9,$1.18,17.71
2010-09-30,20.88,$0.89,23.5
2010-06-30,18.58,$0.69,27.05
2010-03-31,23.64,$0.71,33.25
2009-12-31,23.81,$0.95,25.01
