Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,49.21,,0.0
2024-03-31,49.19,$-0.04,0.0
2023-12-31,46.35,$-4.35,0.0
2023-09-30,43.42,$-3.99,0.0
2023-06-30,49.65,$-4.59,0.0
2023-03-31,52.88,$-4.27,0.0
2022-12-31,57.3,$-4.72,0.0
2022-09-30,63.88,$-4.73,0.0
2022-06-30,73.18,$-3.94,0.0
2022-03-31,77.29,$-3.13,0.0
2021-12-31,70.87,$-2.38,0.0
2021-09-30,65.3,$-2.18,0.0
2021-06-30,65.27,$-1.74,0.0
2021-03-31,66.84,$-1.00,0.0
2020-12-31,65.57,$-0.95,0.0
2020-09-30,68.27,$0.13,538.41
2020-06-30,69.39,$0.29,239.44
2020-03-31,61.03,$0.27,227.9
2019-12-31,69.22,$0.28,249.97
2019-09-30,66.97,$0.51,132.02
2019-06-30,63.15,$0.46,136.51
2019-03-31,61.87,$0.81,76.64
2018-12-31,56.97,$0.79,71.88
2018-09-30,55.41,$0.04,1348.09
2018-06-30,53.14,$-0.38,0.0
2018-03-31,51.88,$-1.26,0.0
2017-12-31,61.65,$-1.58,0.0
2017-09-30,57.98,$-2.00,0.0
2017-06-30,57.21,$-1.92,0.0
2017-03-31,57.37,$-2.74,0.0
2016-12-31,56.09,$-3.13,0.0
2016-09-30,53.88,$-3.39,0.0
2016-06-30,56.0,$-3.33,0.0
2016-03-31,53.46,$-2.56,0.0
2015-12-31,47.65,$-1.85,0.0
2015-09-30,49.11,$-1.28,0.0
2015-06-30,46.24,$-2.00,0.0
2015-03-31,48.56,$-2.43,0.0
2014-12-31,52.23,$-3.26,0.0
2014-09-30,46.54,$-3.36,0.0
2014-06-30,47.77,$-2.45,0.0
2014-03-31,47.0,$-1.98,0.0
2013-12-31,42.46,$-1.09,0.0
2013-09-30,40.66,$-1.03,0.0
2013-06-30,36.62,$-1.03,0.0
2013-03-31,37.11,$-0.88,0.0
2012-12-31,32.71,$-0.01,0.0
2012-09-30,33.08,$0.22,148.28
2012-06-30,33.41,$0.21,162.98
2012-03-31,31.36,$-0.22,0.0
2011-12-31,32.17,$-1.16,0.0
2011-09-30,30.48,$-2.02,0.0
2011-06-30,28.7,$-2.89,0.0
2011-03-31,26.3,$-3.77,0.0
2010-12-31,24.86,$-2.71,0.0
2010-09-30,25.14,$-1.32,0.0
2010-06-30,22.07,$-0.70,0.0
2010-03-31,23.14,$0.06,412.55
2009-12-31,21.65,$-0.09,0.0
