Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,128.77,,23.79
2024-04-30,139.19,$5.41,25.71
2024-01-31,131.57,$3.17,41.47
2023-10-31,118.07,$2.07,56.97
2023-07-31,166.54,$0.44,376.03
2023-04-30,217.66,$0.39,561.71
2023-01-31,228.97,$1.90,120.72
2022-10-31,249.44,$2.20,113.56
2022-07-31,242.42,$5.53,43.86
2022-04-30,231.27,$6.60,35.06
2022-01-31,202.49,$7.63,26.52
2021-10-31,214.78,$6.81,31.53
2021-07-31,225.1,$4.94,45.58
2021-04-30,207.39,$7.10,29.22
2021-01-31,187.56,$11.40,16.45
2020-10-31,200.81,$11.99,16.75
2020-07-31,182.88,$12.25,14.93
2020-04-30,168.05,$10.07,16.7
2020-01-31,146.76,$5.64,26.02
2019-10-31,153.07,$6.11,25.03
2019-07-31,127.69,$5.82,21.94
2019-04-30,119.86,$5.53,21.68
2019-01-31,109.44,$5.31,20.62
2018-10-31,105.33,$5.47,19.27
2018-07-31,92.56,$5.23,17.69
2018-04-30,90.76,$4.33,20.97
2018-01-31,96.66,$4.23,22.84
2017-10-31,75.57,$3.57,21.19
2017-07-31,70.03,$3.60,19.45
2017-04-30,67.75,$4.00,16.92
2017-01-31,68.53,$3.73,18.35
2016-10-31,63.93,$4.13,15.46
2016-07-31,87.36,$3.73,23.44
2016-04-30,75.32,$3.18,23.7
2016-01-31,68.81,$3.01,22.87
2015-10-31,61.94,$2.75,22.53
2015-07-31,73.22,$3.29,22.25
2015-04-30,66.06,$3.48,18.98
2015-01-31,60.75,$3.12,19.44
2014-10-31,56.77,$3.81,14.9
2014-07-31,50.03,$3.41,14.68
2014-04-30,51.13,$3.52,14.52
2014-01-31,51.02,$2.97,17.16
2013-10-31,52.34,$1.95,26.85
2013-07-31,49.52,$2.01,24.63
2013-04-30,47.19,$1.53,30.77
2013-01-31,41.87,$1.68,24.94
2012-10-31,44.04,$1.57,28.08
2012-07-31,46.21,$1.24,37.26
2012-04-30,42.99,$1.31,32.79
2012-01-31,38.6,$1.56,24.82
2011-10-31,35.93,$1.46,24.69
2011-07-31,28.5,$1.36,20.94
2011-04-30,29.52,$1.56,18.96
2011-01-31,25.19,$1.18,21.41
2010-10-31,25.54,$1.73,14.76
