Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,18.33,,15.76
2023-12-31,19.28,$1.16,16.58
2023-09-30,15.56,$2.36,6.6
2023-06-30,16.12,$2.48,6.5
2023-03-31,15.65,$2.40,6.53
2022-12-31,15.12,$2.82,5.36
2024-03-31,20.68,$2.05,10.08
2022-09-30,14.66,$2.48,5.92
2022-06-30,14.37,$2.15,6.67
2022-03-31,17.74,$1.36,13.04
2021-12-31,15.85,$0.84,18.95
2021-09-30,14.89,$0.01,0.0
2021-06-30,15.58,$-0.74,0.0
2021-03-31,15.36,$-0.89,0.0
2020-12-31,13.34,$-0.74,0.0
2020-09-30,9.84,$-0.14,0.0
2020-06-30,9.84,$1.40,7.04
2020-03-31,10.06,$2.11,4.77
2019-12-31,16.62,$2.58,6.45
2019-09-30,15.28,$2.73,5.6
2019-06-30,15.92,$3.22,4.94
2019-03-31,16.33,$3.36,4.86
2018-12-31,14.26,$3.28,4.34
2018-09-30,17.78,$2.92,6.09
2018-06-30,17.59,$2.10,8.38
2018-03-31,15.41,$0.69,22.44
2017-12-31,16.24,$0.38,42.84
2017-09-30,14.94,$0.34,44.46
2017-06-30,14.6,$0.62,23.63
2016-12-31,14.74,$1.68,8.78
2016-09-30,12.02,$1.90,6.32
2016-06-30,12.35,$1.73,7.15
2016-03-31,12.56,$1.32,9.49
2015-12-31,11.4,$1.03,11.04
2015-09-30,11.6,$1.25,9.3
2015-06-30,14.37,$1.24,11.57
2015-03-31,14.48,$1.10,13.1
2014-12-31,16.89,$1.54,10.99
2014-09-30,14.99,$1.54,9.75
2014-06-30,15.33,$1.57,9.79
2014-03-31,14.0,$1.63,8.57
2013-12-31,13.35,$1.61,8.3
2013-09-30,12.05,$1.09,11.08
2013-06-30,11.43,$1.18,9.65
2013-03-31,11.77,$0.86,13.76
2012-12-31,10.49,$0.44,23.84
2012-09-30,10.68,$0.35,30.69
2012-06-30,10.47,$0.31,34.17
2012-03-31,10.82,$0.35,30.86
2011-12-31,9.7,$0.24,40.49
2011-09-30,7.16,$0.34,21.1
2011-06-30,11.05,$0.19,57.29
2011-03-31,11.46,$0.24,46.89
2010-12-31,11.62,$0.33,34.69
2010-09-30,9.41,$0.39,24.19
2010-06-30,8.75,$0.52,16.86
2010-03-31,9.5,$0.43,22.2
2009-12-31,7.57,$0.65,11.7
2009-09-30,7.44,$0.97,7.7
