Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,191.85,,30.36
2024-03-31,190.9,$6.32,30.21
2023-12-31,164.45,$6.37,25.83
2023-09-30,141.65,$6.16,23.0
2023-06-30,151.68,$5.99,25.3
2023-03-31,133.47,$5.35,24.96
2022-12-31,126.86,$5.58,22.74
2022-09-30,133.28,$5.43,24.52
2022-06-30,127.75,$4.86,26.29
2022-03-31,128.89,$4.85,26.57
2021-12-31,135.18,$4.66,28.98
2021-09-30,116.0,$4.72,24.6
2021-06-30,105.88,$4.68,22.61
2021-03-31,95.26,$4.41,21.59
2020-12-31,91.94,$4.09,22.49
2020-09-30,88.73,$4.12,21.52
2020-06-30,77.64,$4.07,19.09
2020-03-31,70.67,$3.54,19.97
2019-12-31,83.94,$3.62,23.17
2019-09-30,80.69,$3.57,22.59
2019-06-30,80.4,$3.39,23.69
2019-03-31,74.27,$3.49,21.26
2018-12-31,66.3,$3.66,18.1
2018-09-30,66.82,$3.77,17.73
2018-06-30,62.54,$3.59,17.43
2018-03-31,60.29,$3.05,19.74
2017-12-31,61.23,$2.73,22.39
2017-09-30,59.52,$2.70,22.07
2017-06-30,57.12,$2.85,20.02
2017-03-31,56.02,$2.88,19.46
2016-12-31,50.62,$2.70,18.75
2016-09-30,44.52,$2.24,19.91
2016-06-30,44.99,$1.96,22.92
2016-03-31,41.53,$1.97,21.06
2015-12-31,38.1,$2.15,17.73
2015-09-30,35.21,$2.49,14.11
2015-06-30,33.23,$2.41,13.78
2015-03-31,34.16,$2.10,16.29
2014-12-31,33.67,$1.96,17.15
2014-09-30,32.41,$1.84,17.59
2014-06-30,31.32,$1.78,17.64
2014-03-31,27.98,$1.84,15.18
2013-12-31,26.99,$1.90,14.19
2013-09-30,26.91,$1.98,13.56
2013-06-30,27.17,$1.89,14.37
2013-03-31,26.23,$2.13,12.29
2012-12-31,23.15,$1.74,13.33
2012-09-30,21.54,$1.67,12.89
2012-06-30,20.54,$2.11,9.73
2012-03-31,23.52,$0.71,33.23
2011-12-31,21.05,$1.23,17.13
2011-09-30,21.27,$1.06,20.03
2011-06-30,23.2,$0.62,37.63
2010-12-31,22.16,$1.76,12.62
2010-09-30,22.48,$2.27,9.91
2010-06-30,21.78,$2.16,10.1
2010-03-31,21.12,$2.21,9.58
2009-12-31,20.47,$2.02,10.13
2011-03-31,22.45,$1.67,13.47
