Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,50.42,,23.34
2024-03-31,43.54,$2.16,20.15
2023-12-31,49.33,$2.12,23.26
2023-09-30,41.33,$2.17,19.05
2023-06-30,45.88,$2.22,20.7
2023-03-31,41.68,$2.13,19.57
2022-12-31,42.87,$2.23,19.26
2022-09-30,37.84,$2.24,16.87
2022-06-30,47.92,$2.12,22.61
2022-03-31,57.04,$2.22,25.74
2021-12-31,46.87,$2.18,21.53
2021-09-30,50.18,$2.30,21.78
2021-06-30,51.48,$2.89,17.83
2021-03-31,47.71,$3.24,14.71
2020-12-31,43.5,$3.46,12.58
2020-09-30,36.88,$3.67,10.05
2020-06-30,31.85,$3.40,9.36
2020-03-31,23.02,$3.36,6.86
2019-12-31,48.18,$3.46,13.91
2019-09-30,60.11,$3.46,17.37
2019-06-30,55.66,$3.45,16.13
2019-03-31,51.36,$3.55,14.48
2018-12-31,46.58,$3.48,13.39
2018-09-30,43.24,$3.46,12.48
2018-06-30,44.63,$3.61,12.35
2018-03-31,38.28,$3.52,10.89
2017-12-31,45.66,$3.61,12.63
2017-09-30,48.91,$3.70,13.21
2017-06-30,51.6,$3.62,14.24
2017-03-31,47.75,$3.70,12.89
2016-12-31,45.35,$3.55,12.77
2016-09-30,50.59,$3.68,13.74
2016-06-30,51.6,$3.64,14.18
2016-03-31,44.12,$3.63,12.15
2015-12-31,39.04,$3.87,10.1
2015-09-30,38.28,$3.84,9.98
2015-06-30,36.65,$4.06,9.02
2015-03-31,42.59,$4.01,10.62
2014-12-31,41.38,$3.93,10.52
2014-09-30,35.36,$4.03,8.78
2014-06-30,36.18,$4.05,8.93
2014-03-31,33.8,$3.96,8.53
2013-12-31,31.6,$3.77,8.38
2013-09-30,33.49,$3.55,9.43
2013-06-30,37.42,$3.25,11.51
2013-03-31,39.07,$3.04,12.84
2012-12-31,34.22,$3.14,10.91
2012-09-30,32.6,$3.95,8.26
2012-06-30,32.74,$3.65,8.96
2012-03-31,29.3,$3.18,9.21
2011-12-31,27.98,$3.13,8.93
2011-09-30,24.79,$2.03,12.19
2011-06-30,26.16,$2.42,10.81
2011-03-31,26.66,$2.77,9.61
2010-12-31,25.49,$2.72,9.36
2010-09-30,24.77,$2.79,8.88
2010-06-30,22.33,$2.73,8.18
2010-03-31,22.32,$2.63,8.48
2009-12-31,20.32,$2.69,7.55
