Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data,Parker-Hannifin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,510.29,,22.5
2024-03-31,554.18,$22.68,24.44
2023-12-31,458.05,$22.00,20.82
2023-09-30,385.92,$21.40,18.03
2023-06-30,385.02,$20.12,19.13
2023-03-31,330.28,$18.17,18.18
2022-12-31,284.87,$17.14,16.62
2022-09-30,236.17,$17.30,13.65
2022-06-30,238.67,$17.27,13.82
2022-03-31,273.85,$15.74,17.4
2021-12-31,305.97,$15.64,19.56
2021-09-30,268.1,$16.70,16.05
2021-06-30,293.46,$19.15,15.32
2021-03-31,300.43,$19.92,15.08
2020-12-31,258.63,$19.35,13.36
2020-09-30,191.4,$16.54,11.57
2020-06-30,172.63,$14.37,12.02
2020-03-31,121.51,$13.22,9.19
2019-12-31,191.98,$13.95,13.76
2019-09-30,167.72,$14.26,11.76
2019-06-30,157.0,$12.00,13.08
2019-03-31,157.68,$12.41,12.71
2018-12-31,136.39,$11.47,11.89
2018-09-30,167.46,$10.26,16.32
2018-06-30,141.28,$10.57,13.37
2018-03-31,154.37,$9.08,16.99
2017-12-31,179.46,$8.44,21.26
2017-09-30,156.81,$8.83,17.77
2017-06-30,142.59,$8.20,17.39
2017-03-31,142.44,$8.23,17.3
2016-12-31,123.83,$8.22,15.07
2016-09-30,110.48,$8.63,12.8
2016-06-30,94.62,$7.89,11.99
2016-03-31,96.73,$7.90,12.25
2015-12-31,83.93,$7.28,11.52
2015-09-30,83.7,$6.55,12.77
2015-06-30,99.46,$8.04,12.36
2015-03-31,101.03,$8.07,12.51
2014-12-31,109.11,$7.88,13.85
2014-09-30,96.12,$7.71,12.47
2014-06-30,105.43,$7.83,13.46
2014-03-31,99.99,$7.15,13.98
2013-12-31,107.0,$7.69,13.92
2013-09-30,90.09,$8.27,10.9
2013-06-30,78.7,$6.27,12.56
2013-03-31,75.19,$6.48,11.6
2012-12-31,69.52,$6.98,9.96
2012-09-30,67.95,$6.38,10.66
2012-06-30,62.19,$8.61,7.22
2012-03-31,68.07,$7.63,8.92
2011-12-31,61.11,$7.21,8.48
2011-09-30,50.38,$7.32,6.88
2011-06-30,71.21,$6.02,11.83
2011-03-31,74.82,$6.14,12.18
2010-12-31,67.96,$5.28,12.88
2010-09-30,54.97,$5.76,9.55
2010-06-30,43.33,$6.76,6.41
2010-03-31,50.38,$6.86,7.34
2009-12-31,41.75,$8.84,4.72
