Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data,Bath & Body Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,41.5,,12.93
2024-04-30,45.42,$3.21,14.15
2024-01-31,42.48,$2.86,14.83
2023-10-31,29.33,$3.34,8.79
2023-07-31,36.46,$3.41,10.7
2023-04-30,34.34,$3.38,10.16
2023-01-31,44.8,$3.50,12.79
2022-10-31,32.34,$3.11,10.4
2022-07-31,34.26,$2.93,11.69
2022-04-30,50.73,$3.95,12.84
2022-01-31,53.57,$4.69,11.43
2021-10-31,65.89,$5.36,12.28
2021-07-31,76.18,$7.21,10.57
2021-04-30,62.56,$8.46,7.39
2021-01-31,38.69,$6.38,6.06
2020-10-31,30.39,$6.35,4.79
2020-07-31,23.17,$3.69,6.28
2020-04-30,11.29,$2.09,5.41
2020-01-31,21.71,$2.81,7.71
2019-10-31,15.7,$2.93,5.36
2019-07-31,23.54,$2.86,8.22
2019-04-30,22.96,$2.82,8.13
2019-01-31,24.65,$2.68,9.19
2018-10-31,28.13,$2.06,13.65
2018-07-31,26.91,$2.48,10.84
2018-04-30,29.15,$2.13,13.65
2018-01-31,41.31,$2.44,16.96
2017-10-31,35.06,$3.43,10.23
2017-07-31,37.2,$3.06,12.16
2017-04-30,41.86,$3.86,10.85
2017-01-31,47.23,$3.62,13.05
2016-10-31,56.14,$4.10,13.69
2016-07-31,57.0,$4.56,12.49
2016-04-30,59.87,$5.22,11.48
2016-01-31,71.26,$5.04,14.15
2015-10-31,70.75,$3.83,18.49
2015-07-31,59.14,$3.78,15.65
2015-04-30,65.09,$3.44,18.95
2015-01-31,59.99,$3.59,16.69
2014-10-31,50.9,$3.28,15.53
2014-07-31,40.69,$2.31,17.64
2014-04-30,37.83,$1.99,19.02
2014-01-31,35.65,$1.88,18.95
2013-10-31,42.24,$1.87,22.63
2013-07-31,37.43,$2.89,12.95
2013-04-30,33.64,$2.72,12.38
2013-01-31,31.83,$2.57,12.39
2012-10-31,29.73,$2.05,14.49
2012-07-31,28.77,$2.06,13.95
2012-04-30,29.9,$1.91,15.7
2012-01-31,25.05,$2.68,9.36
2011-10-31,24.24,$2.59,9.36
2011-07-31,21.37,$3.01,7.11
2011-04-30,22.47,$3.06,7.35
2011-01-31,15.87,$3.03,5.23
2010-10-31,14.51,$2.71,5.34
2010-07-31,12.58,$2.74,4.59
2010-04-30,13.07,$3.18,4.11
2010-01-31,8.85,$2.97,2.98
2009-10-31,8.12,$1.32,6.16
