State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,72.24,,14.7
2024-03-31,77.32,$4.91,15.73
2023-12-31,76.77,$-0.39,0.0
2023-09-30,65.78,$5.99,10.97
2023-06-30,71.16,$17.77,4.0
2023-03-31,72.97,$9.55,7.64
2022-12-31,74.17,$30.32,2.45
2022-09-30,57.67,$23.28,2.48
2022-06-30,57.87,$12.57,4.6
2022-03-31,81.03,$1.89,42.81
2021-12-31,85.94,$-21.01,0.0
2021-09-30,77.81,$-23.44,0.0
2021-06-30,75.06,$-39.23,0.0
2021-03-31,76.16,$-13.59,0.0
2020-12-31,65.57,$8.32,7.88
2020-09-30,53.08,$1.55,34.32
2020-06-30,56.36,$29.37,1.92
2020-03-31,46.86,$26.20,1.79
2019-12-31,68.91,$13.27,5.19
2019-09-30,51.22,$13.65,3.75
2019-06-30,48.09,$15.22,3.16
2019-03-31,55.99,$10.86,5.16
2018-12-31,53.28,$25.41,2.1
2018-09-30,70.77,$35.69,1.98
2018-06-30,78.2,$15.35,5.1
2018-03-31,83.4,$20.51,4.07
2017-12-31,81.28,$16.58,4.9
2017-09-30,79.22,$3.28,24.13
2017-06-30,74.08,$2.14,34.69
2017-03-31,65.44,$6.24,10.49
2016-12-31,63.59,$4.23,15.02
2016-09-30,56.69,$12.40,4.57
2016-06-30,43.66,$18.24,2.39
2016-03-31,47.08,$0.84,56.06
2015-12-31,53.08,$-5.09,0.0
2015-09-30,53.48,$-12.27,0.0
2015-06-30,60.96,$-14.25,0.0
2015-03-31,57.96,$-5.66,0.0
2014-12-31,61.62,$-2.29,0.0
2014-09-30,57.57,$-6.39,0.0
2014-06-30,52.39,$-0.60,0.0
2014-03-31,53.93,$-1.77,0.0
2013-12-31,56.69,$-5.30,0.0
2013-09-30,50.61,$-0.95,0.0
2013-06-30,50.0,$1.43,34.86
2013-03-31,45.13,$2.75,16.4
2012-12-31,35.74,$3.28,10.9
2012-09-30,31.74,$8.56,3.71
2012-06-30,33.57,$8.23,4.08
2012-03-31,34.03,$7.17,4.75
2011-12-31,29.99,$6.20,4.84
2011-09-30,23.82,$-0.52,0.0
2011-06-30,33.22,$-10.03,0.0
2011-03-31,32.98,$-2.32,0.0
2010-12-31,33.87,$1.13,30.06
2010-09-30,27.52,$1.67,16.45
2010-06-30,24.71,$8.55,2.89
2010-03-31,32.97,$0.56,58.57
2009-12-31,31.79,$-9.61,0.0
